accession	band	role	length	n_itpr_arch	itpr_score	verdict	detail
A0AAD5MGD6	Nematoda	RYR	1504	2	97.8	shape	length 1504 outside RyR bait band 4600-5400
A0AAD5MUV5	Nematoda	ITPR	2206	4	2007.8	shape	length 2206 outside measured bait band 2450-3250
A0AAD5U2Z8	Chytridiomycota	ITPR	1920	3	398.1	shape	length 1920 outside measured bait band 2450-3250
A0AAD5XWK9	Chytridiomycota	ITPR	2327	2	420.0	shape	length 2327 outside measured bait band 2450-3250
A0AAD7Y757	Arthropoda	ITPR	3571	5	3588.8	shape	length 3571 outside measured bait band 2450-3250
A0AAD8AX15	Mollusca	ITPR	1226	3	685.7	shape	length 1226 outside measured bait band 2450-3250
A0AAD8B2N2	Mollusca	RYR	4080	3	522.3	shape	length 4080 outside RyR bait band 4600-5400
A0AAD8BXW7	Mollusca	ITPR	1768	3	907.9	shape	length 1768 outside measured bait band 2450-3250
A0AAD8DKG6	Arthropoda	RYR	5857	5	699.7	shape	length 5857 outside RyR bait band 4600-5400
A0AAD8E318	Arthropoda	ITPR	892	2	1258.7	shape	length 892 outside measured bait band 2450-3250
A0AAD8E381	Arthropoda	ITPR	868	1	928.2	shape	length 868 outside measured bait band 2450-3250
A0AAD8EP12	Arthropoda	RYR	1641	1	122.7	shape	length 1641 outside RyR bait band 4600-5400
A0AAD8EPN1	Arthropoda	RYR	1798	2	132.0	shape	length 1798 outside RyR bait band 4600-5400
A0AAD9IZL0	Annelida	ITPR	1101	1	254.7	shape	length 1101 outside measured bait band 2450-3250
A0AAD9J074	Annelida	ITPR	332	1	142.7	shape	length 332 outside measured bait band 2450-3250
A0AAD9KYY2	Annelida	RYR	2086	1	141.3	shape	length 2086 outside RyR bait band 4600-5400
A0AAD9KZI4	Annelida	RYR	2394	3	240.0	shape	length 2394 outside RyR bait band 4600-5400
A0AAD9LIJ6	Oomycota	ITPR	3785	5	1961.9	shape	length 3785 outside measured bait band 2450-3250
A0AAD9MPP7	Annelida	ITPR	549	2	209.3	shape	length 549 outside measured bait band 2450-3250
A0AAD9MT76	Annelida	ITPR	405	2	220.9	shape	length 405 outside measured bait band 2450-3250
A0AAD9MV40	Annelida	ITPR	1141	1	424.8	shape	length 1141 outside measured bait band 2450-3250
A0AAD9MWR5	Annelida	ITPR	1625	1	476.5	shape	length 1625 outside measured bait band 2450-3250
A0AAD9N203	Annelida	RYR	1556	2	428.2	shape	length 1556 outside RyR bait band 4600-5400
A0AAD9N3M2	Annelida	RYR	3804	3	246.1	shape	length 3804 outside RyR bait band 4600-5400
A0AAD9P2B2	Annelida	ITPR	727	1	253.2	shape	length 727 outside measured bait band 2450-3250
A0AAD9P2D2	Annelida	ITPR	1041	3	634.5	shape	length 1041 outside measured bait band 2450-3250
A0AAD9QVF6	Cnidaria	ITPR	2331	5	3022.1	shape	length 2331 outside measured bait band 2450-3250
A0AAD9UJ07	Annelida	ITPR	495	1	244.4	shape	length 495 outside measured bait band 2450-3250
A0AAE0CB19	Chlorophyta	ITPR	1466	3	297.4	shape	length 1466 outside measured bait band 2450-3250
A0AAE0CFQ3	Chlorophyta	ITPR	1592	1	226.3	shape	length 1592 outside measured bait band 2450-3250
A0AAE0ESH2	Chlorophyta	ITPR	3164	1	425.2	shape	architecture 1/5, not complete, and itpr.hmm scores it only 425 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0AAE0ET13	Chlorophyta	ITPR	2660	4	631.2	shape	architecture 4/5, not complete, and itpr.hmm scores it only 631 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0AAE0ETT8	Chlorophyta	ITPR	3163	1	424.8	shape	architecture 1/5, not complete, and itpr.hmm scores it only 425 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0AAE0EYG5	Chlorophyta	ITPR	616	2	192.7	shape	length 616 outside measured bait band 2450-3250
A0AAE0F1H0	Chlorophyta	ITPR	1134	3	294.2	shape	length 1134 outside measured bait band 2450-3250
A0AAE0F1L8	Chlorophyta	ITPR	373	1	114.6	shape	length 373 outside measured bait band 2450-3250
A0AAE0F2K9	Chlorophyta	ITPR	1135	3	298.2	shape	length 1135 outside measured bait band 2450-3250
A0AAE0FNT5	Chlorophyta	ITPR	2366	2	629.3	shape	length 2366 outside measured bait band 2450-3250
A0AAE0FVC1	Chlorophyta	ITPR	1557	1	450.7	shape	length 1557 outside measured bait band 2450-3250
A0AAE0FW44	Chlorophyta	ITPR	1540	1	453.1	shape	length 1540 outside measured bait band 2450-3250
A0AAE0FXK1	Chlorophyta	ITPR	1474	2	419.9	shape	length 1474 outside measured bait band 2450-3250
A0AAE0FXX3	Chlorophyta	ITPR	1496	2	414.6	shape	length 1496 outside measured bait band 2450-3250
A0AAE0FY27	Chlorophyta	ITPR	1452	2	428.5	shape	length 1452 outside measured bait band 2450-3250
A0AAE0G3M7	Chlorophyta	ITPR	486	1	155.8	shape	length 486 outside measured bait band 2450-3250
A0AAE0GNN5	Chlorophyta	ITPR	1877	3	654.9	shape	length 1877 outside measured bait band 2450-3250
A0AAE0GPV6	Chlorophyta	ITPR	3355	4	1948.7	shape	length 3355 outside measured bait band 2450-3250
A0AAE0GQ97	Chlorophyta	ITPR	1732	2	354.0	shape	length 1732 outside measured bait band 2450-3250
A0AAE0GX54	Chlorophyta	ITPR	985	2	332.5	shape	length 985 outside measured bait band 2450-3250
A0AAE0H2B7	Chlorophyta	ITPR	1932	2	451.6	shape	length 1932 outside measured bait band 2450-3250
A0AAE0H2E6	Chlorophyta	ITPR	1951	2	440.4	shape	length 1951 outside measured bait band 2450-3250
A0AAE0H2G5	Chlorophyta	ITPR	1961	2	450.8	shape	length 1961 outside measured bait band 2450-3250
A0AAE0H2Q1	Chlorophyta	ITPR	1017	1	284.7	shape	length 1017 outside measured bait band 2450-3250
A0AAE0KPG3	Chlorophyta	ITPR	1395	1	422.7	shape	length 1395 outside measured bait band 2450-3250
A0AAE0KPX7	Chlorophyta	ITPR	888	1	304.7	shape	length 888 outside measured bait band 2450-3250
A0AAE0L826	Chlorophyta	ITPR	1821	3	356.6	shape	length 1821 outside measured bait band 2450-3250
A0AAE0LAS1	Chlorophyta	ITPR	1308	1	262.4	shape	length 1308 outside measured bait band 2450-3250
A0AAE0LDZ1	Chlorophyta	ITPR	3375	3	1943.2	shape	length 3375 outside measured bait band 2450-3250
A0AAE0LG05	Chlorophyta	ITPR	873	1	115.0	shape	length 873 outside measured bait band 2450-3250
A0AAE0THY8	Mollusca	ITPR	1064	2	612.3	shape	length 1064 outside measured bait band 2450-3250
A0AAE0WAC7	Mollusca	ITPR	2075	3	1013.3	shape	length 2075 outside measured bait band 2450-3250
A0AAE0WBF8	Mollusca	ITPR	386	2	252.7	shape	length 386 outside measured bait band 2450-3250
A0AAE0WD52	Mollusca	ITPR	1591	2	611.1	shape	length 1591 outside measured bait band 2450-3250
A0AAE0WE69	Mollusca	ITPR	1492	1	543.9	shape	length 1492 outside measured bait band 2450-3250
A0AAE1A166	Mollusca	ITPR	1671	3	837.6	shape	length 1671 outside measured bait band 2450-3250
A0AAE1DQB5	Mollusca	ITPR	1199	2	597.8	shape	length 1199 outside measured bait band 2450-3250
A0AAE1F6E0	Arthropoda	RYR	5490	5	662.6	shape	length 5490 outside RyR bait band 4600-5400
A0AAE1NMK4	Arthropoda	ITPR	612	2	536.7	shape	length 612 outside measured bait band 2450-3250
A0AAE1NS39	Arthropoda	RYR	5556	5	678.3	shape	length 5556 outside RyR bait band 4600-5400
A0AAE1Q774	Arthropoda	ITPR	640	1	736.1	shape	length 640 outside measured bait band 2450-3250
A0AAE1Q7V6	Arthropoda	ITPR	634	1	737.3	shape	length 634 outside measured bait band 2450-3250
A0AAE1Q838	Arthropoda	ITPR	2191	3	2218.3	shape	length 2191 outside measured bait band 2450-3250
A0AAE1Q8F1	Arthropoda	ITPR	2104	3	2173.9	shape	length 2104 outside measured bait band 2450-3250
A0AAE1QAE8	Arthropoda	ITPR	2101	3	2174.4	shape	length 2101 outside measured bait band 2450-3250
A0AAE1QI99	Arthropoda	ITPR	531	2	539.9	shape	length 531 outside measured bait band 2450-3250
A0AAE1QIC2	Arthropoda	ITPR	503	2	550.4	shape	length 503 outside measured bait band 2450-3250
A0AAE1TW04	Arthropoda	ITPR	1083	2	546.1	shape	length 1083 outside measured bait band 2450-3250
A0AAE1UC55	Arthropoda	ITPR	692	2	547.2	shape	length 692 outside measured bait band 2450-3250
A0AAE1UDI8	Arthropoda	ITPR	381	1	349.2	shape	length 381 outside measured bait band 2450-3250
A0AAE1UE94	Arthropoda	ITPR	693	3	935.2	shape	length 693 outside measured bait band 2450-3250
A0AAE1UEK5	Arthropoda	ITPR	1008	3	1159.5	shape	length 1008 outside measured bait band 2450-3250
A0AAE1UFF1	Arthropoda	ITPR	980	3	1170.0	shape	length 980 outside measured bait band 2450-3250
A0AAE1ZFP2	Platyhelminthes	RYR	5688	5	719.0	shape	length 5688 outside RyR bait band 4600-5400
A0AAE9F1G7	Nematoda	RYR	1395	2	444.4	shape	length 1395 outside RyR bait band 4600-5400
A0AAE9F6B1	Nematoda	RYR	3972	3	263.9	shape	length 3972 outside RyR bait band 4600-5400
A0AAE9F6C7	Nematoda	RYR	1644	2	438.0	shape	length 1644 outside RyR bait band 4600-5400
A0AAE9JNR4	Nematoda	RYR	3897	3	263.9	shape	length 3897 outside RyR bait band 4600-5400
A0AAN0IU56	Porifera	RYR	277	1	27.7	shape	length 277 outside RyR bait band 4600-5400
A0AAN0IZ14	Porifera	ITPR	2283	1	554.2	shape	length 2283 outside measured bait band 2450-3250
A0AAN0IZF0	Porifera	ITPR	2261	3	477.3	shape	length 2261 outside measured bait band 2450-3250
A0AAN0IZI9	Porifera	ITPR	1392	2	347.8	shape	length 1392 outside measured bait band 2450-3250
A0AAN0IZR7	Porifera	ITPR	548	3	249.6	shape	length 548 outside measured bait band 2450-3250
A0AAN0IZR8	Porifera	ITPR	1992	4	681.5	shape	length 1992 outside measured bait band 2450-3250
A0AAN0IZX5	Porifera	ITPR	2467	2	522.5	shape	architecture 2/5, not complete, and itpr.hmm scores it only 522 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0AAN0J369	Porifera	ITPR	239	1	49.1	shape	length 239 outside measured bait band 2450-3250
A0AAN0JAY4	Porifera	ITPR	2388	3	525.7	shape	length 2388 outside measured bait band 2450-3250
A0AAN0JBC6	Porifera	ITPR	2348	1	337.5	shape	length 2348 outside measured bait band 2450-3250
A0AAN0JC93	Porifera	ITPR	786	1	67.2	shape	length 786 outside measured bait band 2450-3250
A0AAN0JEH0	Porifera	ITPR	2386	1	472.5	shape	length 2386 outside measured bait band 2450-3250
A0AAN0JFA8	Porifera	ITPR	1118	1	101.3	shape	length 1118 outside measured bait band 2450-3250
A0AAN0JTS3	Porifera	ITPR	928	1	320.8	shape	length 928 outside measured bait band 2450-3250
A0AAN0K5E8	Porifera	ITPR	2443	3	532.6	shape	length 2443 outside measured bait band 2450-3250
A0AAN8EN39	Nematoda	ITPR	691	2	704.1	shape	length 691 outside measured bait band 2450-3250
A0AAN8EUI9	Nematoda	RYR	221	1	0.0	shape	length 221 outside RyR bait band 4600-5400
A0AAN8EX35	Nematoda	RYR	866	2	61.3	shape	length 866 outside RyR bait band 4600-5400
A0AAN8EZV3	Nematoda	RYR	3596	3	505.6	shape	length 3596 outside RyR bait band 4600-5400
A0AAN8FES2	Nematoda	RYR	394	1	0.0	shape	length 394 outside RyR bait band 4600-5400
A0AAN8ITN5	Nematoda	ITPR	418	1	381.1	shape	length 418 outside measured bait band 2450-3250
A0AAN8WJS4	Arthropoda	ITPR	1025	2	1267.2	shape	length 1025 outside measured bait band 2450-3250
A0AAN8XQG7	Arthropoda	ITPR	1399	3	1818.9	shape	length 1399 outside measured bait band 2450-3250
A0AAN8ZTZ2	Arthropoda	RYR	3266	2	215.8	shape	length 3266 outside RyR bait band 4600-5400
A0AAN8ZU42	Arthropoda	RYR	651	2	102.9	shape	length 651 outside RyR bait band 4600-5400
A0AAN9GBW5	Mollusca	RYR	3833	3	533.7	shape	length 3833 outside RyR bait band 4600-5400
A0AAN9YZR6	Arthropoda	RYR	2048	2	439.4	shape	length 2048 outside RyR bait band 4600-5400
A0AAQ4E8T5	Arthropoda	RYR	330	1	47.3	shape	length 330 outside RyR bait band 4600-5400
A0AAQ4E921	Arthropoda	RYR	1288	2	68.4	shape	length 1288 outside RyR bait band 4600-5400
A0AAQ4ED23	Arthropoda	RYR	376	1	111.1	shape	length 376 outside RyR bait band 4600-5400
A0AAQ4EUF5	Arthropoda	ITPR	767	1	957.7	shape	length 767 outside measured bait band 2450-3250
A0AAQ4EUV6	Arthropoda	ITPR	1518	3	2036.9	shape	length 1518 outside measured bait band 2450-3250
A0AAU9J038	Ciliophora	ITPR	2697	4	697.9	shape	architecture 4/5, not complete, and itpr.hmm scores it only 698 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0AAU9K1Z5	Ciliophora	ITPR	2688	4	744.7	shape	architecture 4/5, not complete, and itpr.hmm scores it only 745 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0AAU9K6E6	Ciliophora	ITPR	2524	4	695.1	shape	architecture 4/5, not complete, and itpr.hmm scores it only 695 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0AAU9UHA5	Arthropoda	RYR	3248	3	269.4	shape	length 3248 outside RyR bait band 4600-5400
A0AAU9UL92	Arthropoda	RYR	1841	2	437.5	shape	length 1841 outside RyR bait band 4600-5400
A0AAU9UM41	Arthropoda	RYR	3253	3	271.9	shape	length 3253 outside RyR bait band 4600-5400
A0AAU9UPC7	Arthropoda	RYR	1840	2	437.8	shape	length 1840 outside RyR bait band 4600-5400
A0AAU9WTP9	Cnidaria	ITPR	1151	2	1508.5	shape	length 1151 outside measured bait band 2450-3250
A0AAU9WTU5	Cnidaria	ITPR	1546	3	2233.1	shape	length 1546 outside measured bait band 2450-3250
A0AAV0WNE1	Arthropoda	ITPR	3832	5	3300.8	shape	length 3832 outside measured bait band 2450-3250
A0AAV1JI68	Arthropoda	RYR	2340	1	98.0	shape	length 2340 outside RyR bait band 4600-5400
A0AAV1JKW3	Arthropoda	RYR	2316	1	98.0	shape	length 2316 outside RyR bait band 4600-5400
A0AAV1JKW7	Arthropoda	RYR	1849	2	439.1	shape	length 1849 outside RyR bait band 4600-5400
A0AAV1JLY5	Arthropoda	RYR	1839	2	439.2	shape	length 1839 outside RyR bait band 4600-5400
A0AAV1LM52	Arthropoda	ITPR	4718	5	4762.4	shape	length 4718 outside measured bait band 2450-3250
A0AAV1Z9P2	Arthropoda	RYR	4146	4	411.7	shape	length 4146 outside RyR bait band 4600-5400
A0AAV1ZCG5	Arthropoda	RYR	4132	4	411.7	shape	length 4132 outside RyR bait band 4600-5400
A0AAV2HPQ0	Mollusca	ITPR	247	1	132.7	shape	length 247 outside measured bait band 2450-3250
A0AAV2P9M3	Arthropoda	RYR	1248	2	438.0	shape	length 1248 outside RyR bait band 4600-5400
A0AAV2PMF4	Arthropoda	ITPR	751	1	865.4	shape	length 751 outside measured bait band 2450-3250
A0AAV2Q4J1	Arthropoda	RYR	3455	2	205.6	shape	length 3455 outside RyR bait band 4600-5400
A0AAV2QT47	Arthropoda	ITPR	887	3	1247.7	shape	length 887 outside measured bait band 2450-3250
A0AAV2RYZ0	Arthropoda	ITPR	481	1	574.9	shape	length 481 outside measured bait band 2450-3250
A0AAV2ZCN3	Oomycota	ITPR	3684	5	1644.9	shape	length 3684 outside measured bait band 2450-3250
A0AAV3ZI08	Mollusca	ITPR	1055	2	553.5	shape	length 1055 outside measured bait band 2450-3250
A0AAV3ZJF3	Mollusca	ITPR	1367	3	800.2	shape	length 1367 outside measured bait band 2450-3250
A0AAV4BAC7	Mollusca	ITPR	1993	3	2529.5	shape	length 1993 outside measured bait band 2450-3250
A0AAV4BV11	Mollusca	ITPR	1486	3	792.2	shape	length 1486 outside measured bait band 2450-3250
A0AAV4BWS0	Mollusca	ITPR	2359	2	984.3	shape	length 2359 outside measured bait band 2450-3250
A0AAV4BY84	Mollusca	ITPR	942	3	481.5	shape	length 942 outside measured bait band 2450-3250
A0AAV4CU03	Mollusca	RYR	1663	2	446.3	shape	length 1663 outside RyR bait band 4600-5400
A0AAV4CU45	Mollusca	RYR	3331	3	282.1	shape	length 3331 outside RyR bait band 4600-5400
A0AAV4EFD2	Mollusca	ITPR	1809	2	2143.0	shape	length 1809 outside measured bait band 2450-3250
A0AAV4EG62	Mollusca	ITPR	1097	1	452.3	shape	length 1097 outside measured bait band 2450-3250
A0AAV4EG99	Mollusca	ITPR	878	1	463.9	shape	length 878 outside measured bait band 2450-3250
A0AAV4FIK6	Mollusca	ITPR	401	1	220.6	shape	length 401 outside measured bait band 2450-3250
A0AAV4FIZ8	Mollusca	ITPR	279	2	177.7	shape	length 279 outside measured bait band 2450-3250
A0AAV4FJX2	Mollusca	ITPR	842	1	325.4	shape	length 842 outside measured bait band 2450-3250
A0AAV4GMC9	Mollusca	RYR	805	2	86.6	shape	length 805 outside RyR bait band 4600-5400
A0AAV4GNW6	Mollusca	RYR	1287	1	100.1	shape	length 1287 outside RyR bait band 4600-5400
A0AAV4GP88	Mollusca	RYR	1159	2	407.0	shape	length 1159 outside RyR bait band 4600-5400
A0AAV4IQJ0	Mollusca	ITPR	1122	2	606.1	shape	length 1122 outside measured bait band 2450-3250
A0AAV4IU68	Mollusca	ITPR	627	1	252.2	shape	length 627 outside measured bait band 2450-3250
A0AAV4NLQ5	Arthropoda	RYR	781	3	178.4	shape	length 781 outside RyR bait band 4600-5400
A0AAV4NLR5	Arthropoda	RYR	4311	3	546.3	shape	length 4311 outside RyR bait band 4600-5400
A0AAV4NM55	Arthropoda	RYR	4289	3	545.5	shape	length 4289 outside RyR bait band 4600-5400
A0AAV4NN14	Arthropoda	RYR	4267	3	545.5	shape	length 4267 outside RyR bait band 4600-5400
A0AAV4NN99	Arthropoda	RYR	4267	3	546.4	shape	length 4267 outside RyR bait band 4600-5400
A0AAV4SHQ7	Arthropoda	ITPR	1135	2	1403.4	shape	length 1135 outside measured bait band 2450-3250
A0AAV4SJP2	Arthropoda	ITPR	1138	2	1394.8	shape	length 1138 outside measured bait band 2450-3250
A0AAV4TK68	Arthropoda	ITPR	632	3	883.4	shape	length 632 outside measured bait band 2450-3250
A0AAV4TKE7	Arthropoda	ITPR	566	1	661.7	shape	length 566 outside measured bait band 2450-3250
A0AAV4UN88	Arthropoda	RYR	535	2	52.9	shape	length 535 outside RyR bait band 4600-5400
A0AAV4UNE2	Arthropoda	RYR	355	1	62.1	shape	length 355 outside RyR bait band 4600-5400
A0AAV4UNG9	Arthropoda	RYR	620	1	41.0	shape	length 620 outside RyR bait band 4600-5400
A0AAV4Y643	Arthropoda	RYR	1492	2	367.1	shape	length 1492 outside RyR bait band 4600-5400
A0AAV4Y6Y7	Arthropoda	RYR	1492	2	366.9	shape	length 1492 outside RyR bait band 4600-5400
A0AAV4Y703	Arthropoda	RYR	1514	2	364.0	shape	length 1514 outside RyR bait band 4600-5400
A0AAV5SCC0	Nematoda	RYR	2637	3	250.0	shape	length 2637 outside RyR bait band 4600-5400
A0AAV5SLF7	Nematoda	RYR	2275	2	432.5	shape	length 2275 outside RyR bait band 4600-5400
A0AAV5W545	Nematoda	ITPR	1888	3	1662.4	shape	length 1888 outside measured bait band 2450-3250
A0AAV8W0I3	Arthropoda	RYR	2401	2	425.7	shape	length 2401 outside RyR bait band 4600-5400
A0AAV8W0J6	Arthropoda	RYR	2680	3	269.8	shape	length 2680 outside RyR bait band 4600-5400
A0AAV8WK04	Arthropoda	RYR	832	3	148.2	shape	length 832 outside RyR bait band 4600-5400
A0AAV8XDB8	Arthropoda	ITPR	274	1	407.3	shape	length 274 outside measured bait band 2450-3250
A0AAV8Z7C5	Arthropoda	RYR	283	1	34.9	shape	length 283 outside RyR bait band 4600-5400
A0AAV8Z817	Arthropoda	RYR	2054	3	167.4	shape	length 2054 outside RyR bait band 4600-5400
A0AAV8Z8B1	Arthropoda	RYR	2215	2	117.7	shape	length 2215 outside RyR bait band 4600-5400
A0AAW0ELY8	Euglenozoa	ITPR	3836	3	654.4	shape	length 3836 outside measured bait band 2450-3250
A0AAW0EUE4	Euglenozoa	ITPR	2930	3	468.8	shape	architecture 3/5, not complete, and itpr.hmm scores it only 469 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0AAW0SKF4	Arthropoda	RYR	2969	3	278.7	shape	length 2969 outside RyR bait band 4600-5400
A0AAW0SNG3	Arthropoda	RYR	2188	2	424.2	shape	length 2188 outside RyR bait band 4600-5400
A0AAW0XW20	Arthropoda	ITPR	822	3	1224.3	shape	length 822 outside measured bait band 2450-3250
A0AAW0XY89	Arthropoda	ITPR	1797	3	2200.5	shape	length 1797 outside measured bait band 2450-3250
A0AAW0YAM3	Arthropoda	ITPR	1254	2	1480.7	shape	length 1254 outside measured bait band 2450-3250
A0AAW1CLZ8	Arthropoda	ITPR	292	2	506.5	shape	length 292 outside measured bait band 2450-3250
A0AAW1DKL1	Arthropoda	RYR	1956	3	188.9	shape	length 1956 outside RyR bait band 4600-5400
A0AAW1M9L9	Arthropoda	RYR	3675	3	297.5	shape	length 3675 outside RyR bait band 4600-5400
A0AAW1MBR1	Arthropoda	RYR	1429	2	435.8	shape	length 1429 outside RyR bait band 4600-5400
A0AAW1MC85	Arthropoda	RYR	3640	3	282.3	shape	length 3640 outside RyR bait band 4600-5400
A0AAW1MCQ8	Arthropoda	RYR	3645	3	284.3	shape	length 3645 outside RyR bait band 4600-5400
A0AAW1UQJ6	Arthropoda	RYR	1226	2	424.0	shape	length 1226 outside RyR bait band 4600-5400
A0AAW1UQP2	Arthropoda	RYR	2763	1	64.9	shape	length 2763 outside RyR bait band 4600-5400
A0AAW1UXF0	Arthropoda	RYR	876	3	164.2	shape	length 876 outside RyR bait band 4600-5400
A0AB34IYJ0	Haptophyta	ITPR	1529	2	179.4	shape	length 1529 outside measured bait band 2450-3250
A0AB34JDU8	Haptophyta	ITPR	2715	1	428.2	shape	architecture 1/5, not complete, and itpr.hmm scores it only 428 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0ABD0JLV6	Mollusca	ITPR	1724	3	854.6	shape	length 1724 outside measured bait band 2450-3250
A0ABD0JM64	Mollusca	ITPR	473	1	279.8	shape	length 473 outside measured bait band 2450-3250
A0ABD0KB16	Mollusca	ITPR	2400	4	3268.5	shape	length 2400 outside measured bait band 2450-3250
A0ABD0L2J9	Mollusca	RYR	3798	3	263.5	shape	length 3798 outside RyR bait band 4600-5400
A0ABD0L3C0	Mollusca	RYR	1259	2	418.4	shape	length 1259 outside RyR bait band 4600-5400
A0ABD0L3H6	Mollusca	ITPR	1252	2	1429.2	shape	length 1252 outside measured bait band 2450-3250
A0ABD0LFL2	Mollusca	ITPR	1739	3	800.6	shape	length 1739 outside measured bait band 2450-3250
A0ABD0LYC0	Mollusca	ITPR	1285	3	790.4	shape	length 1285 outside measured bait band 2450-3250
A0ABD0YFK1	Arthropoda	ITPR	1723	3	2251.2	shape	length 1723 outside measured bait band 2450-3250
A0ABD0YFU7	Arthropoda	ITPR	655	3	1026.1	shape	length 655 outside measured bait band 2450-3250
A0ABD2ABN5	Arthropoda	RYR	3780	3	283.5	shape	length 3780 outside RyR bait band 4600-5400
A0ABD2CE60	Arthropoda	ITPR	1086	2	1358.8	shape	length 1086 outside measured bait band 2450-3250
A0ABD2CGI1	Arthropoda	ITPR	1734	3	2338.1	shape	length 1734 outside measured bait band 2450-3250
A0ABD2CS54	Arthropoda	RYR	3780	3	290.1	shape	length 3780 outside RyR bait band 4600-5400
A0ABD2QGV0	Platyhelminthes	ITPR	558	1	163.5	shape	length 558 outside measured bait band 2450-3250
A0ABD2QH23	Platyhelminthes	ITPR	639	2	255.7	shape	length 639 outside measured bait band 2450-3250
A0ABD2QM95	Platyhelminthes	RYR	3114	3	386.1	shape	length 3114 outside RyR bait band 4600-5400
A0ABD2QMD9	Platyhelminthes	RYR	1448	3	130.9	shape	length 1448 outside RyR bait band 4600-5400
A0ABD2QMJ7	Platyhelminthes	RYR	127	1	0.0	shape	length 127 outside RyR bait band 4600-5400
A0ABD3FTP6	Oomycota	ITPR	1869	2	970.1	shape	length 1869 outside measured bait band 2450-3250
A0ABD3UF86	Mollusca	ITPR	932	2	583.5	shape	length 932 outside measured bait band 2450-3250
A0ABD3UFE2	Mollusca	ITPR	1390	3	693.3	shape	length 1390 outside measured bait band 2450-3250
A0ABD3UGS2	Mollusca	ITPR	1597	3	836.6	shape	length 1597 outside measured bait band 2450-3250
A0ABD3UIP1	Mollusca	ITPR	300	1	154.9	shape	length 300 outside measured bait band 2450-3250
A0ABD3UWE3	Mollusca	ITPR	1695	3	2373.9	shape	length 1695 outside measured bait band 2450-3250
A0ABD3UWF0	Mollusca	ITPR	1020	2	1388.5	shape	length 1020 outside measured bait band 2450-3250
A0ABD3VFF0	Mollusca	ITPR	1898	3	937.2	shape	length 1898 outside measured bait band 2450-3250
A0ABD6EEE9	Nematoda	ITPR	1188	3	1160.8	shape	length 1188 outside measured bait band 2450-3250
A0ABD6ENC4	Nematoda	ITPR	356	1	325.8	shape	length 356 outside measured bait band 2450-3250
A0ABM1BRA3	Arthropoda	RYR	1111	3	187.0	shape	length 1111 outside RyR bait band 4600-5400
A0ABM1DXK4	Priapulida	RYR	3274	3	207.0	shape	length 3274 outside RyR bait band 4600-5400
A0ABM1DXK7	Priapulida	RYR	1613	2	408.5	shape	length 1613 outside RyR bait band 4600-5400
A0ABM1DXK8	Priapulida	RYR	1598	2	408.8	shape	length 1598 outside RyR bait band 4600-5400
A0ABM1F5M1	Priapulida	ITPR	367	3	434.8	shape	length 367 outside measured bait band 2450-3250
A0ABM1F6W4	Priapulida	ITPR	234	1	286.5	shape	length 234 outside measured bait band 2450-3250
A0ABM1PB88	Arthropoda	ITPR	1001	2	1220.3	shape	length 1001 outside measured bait band 2450-3250
A0ABM1TA57	Arthropoda	RYR	4082	3	541.3	shape	length 4082 outside RyR bait band 4600-5400
A0ABM1W3T6	Mollusca	RYR	2135	3	244.3	shape	length 2135 outside RyR bait band 4600-5400
A0ABM4D4F5	Cnidaria	ITPR	2357	4	2919.6	shape	length 2357 outside measured bait band 2450-3250
A0ABM4GJ92	Arthropoda	ITPR	1689	3	2179.8	shape	length 1689 outside measured bait band 2450-3250
A0ABM4GJ94	Arthropoda	ITPR	1561	3	2099.9	shape	length 1561 outside measured bait band 2450-3250
A0ABN7AHF9	Arthropoda	ITPR	1807	3	2384.3	shape	length 1807 outside measured bait band 2450-3250
A0ABN7NAW1	Arthropoda	ITPR	2445	4	3203.1	shape	length 2445 outside measured bait band 2450-3250
A0ABN7NAY5	Arthropoda	ITPR	933	1	1044.0	shape	length 933 outside measured bait band 2450-3250
A0ABN7NDZ0	Arthropoda	ITPR	2089	2	2183.6	shape	length 2089 outside measured bait band 2450-3250
A0ABN7NHX0	Arthropoda	ITPR	2436	4	3204.8	shape	length 2436 outside measured bait band 2450-3250
A0ABN7NI84	Arthropoda	RYR	670	1	71.1	shape	length 670 outside RyR bait band 4600-5400
A0ABN7NIF6	Arthropoda	RYR	516	1	63.8	shape	length 516 outside RyR bait band 4600-5400
A0ABN7NWJ2	Arthropoda	ITPR	309	2	507.2	shape	length 309 outside measured bait band 2450-3250
A0ABN8ILN3	Arthropoda	RYR	1351	1	154.1	shape	length 1351 outside RyR bait band 4600-5400
A0ABN8ILP5	Arthropoda	RYR	1339	1	154.2	shape	length 1339 outside RyR bait band 4600-5400
A0ABN8ILP6	Arthropoda	RYR	3263	3	275.5	shape	length 3263 outside RyR bait band 4600-5400
