accession	organism	taxid	group	kingdom	phylum	class	order	assembly_name	level	refseq_category	annotated	annotation_source	release_date	total_length_bp	scaffold_n50	contig_n50	spans_gene	contiguity_bar_bp	bar_source	fasta_gb	est_zip_gb	reasons	notes
GCF_030272615.1	Cryptomeria japonica	3369	viridiplantae	Viridiplantae	Streptophyta	Pinopsida	Cupressales	Sugi_1.0	Chromosome	reference genome	Y	RefSeq	2023-03-31	9046532310	754841075	8537601	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	9.047	2.714	class_rep	Pinopsida
GCA_024626585.2	Ginkgo biloba	3311	viridiplantae	Viridiplantae	Streptophyta	Ginkgoopsida	Ginkgoales	ASM2462658v2	Scaffold	reference genome	N	GenBank	2025-02-08	2638010630	173124093	1328	N	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	2.638	0.791	class_rep	Ginkgoopsida
GCA_015680685.1	Gnetum montanum	3381	viridiplantae	Viridiplantae	Streptophyta	Gnetopsida	Gnetales	Gmon01	Scaffold	reference genome	N	GenBank	2020-11-24	2147717938	495720	45585	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	2.148	0.644	class_rep	Gnetopsida
GCA_000708835.1	Klebsormidium nitens	105231	viridiplantae	Viridiplantae	Streptophyta	Klebsormidiophyceae	Klebsormidiales	ASM70883v1	Scaffold	reference genome	Y	GenBank	2014-06-03	103921766	134930	72512	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.104	0.031	class_rep	Klebsormidiophyceae
GCF_002870075.5	Lactuca sativa	4236	viridiplantae	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Lsat_Salinas_v15	Complete Genome	reference genome	Y	RefSeq	2025-12-23	2601098885	324639535	324639535	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	2.601	0.780	phylum_rep;class_rep;absence_clade;absence_clade	Streptophyta | Magnoliopsida | Streptophyta | Magnoliopsida
GCA_009746045.1	Mesostigma viride	41882	viridiplantae	Viridiplantae	Streptophyta	Mesostigmatophyceae	Mesostigmatales	ASM974604v1	Scaffold	reference genome	N	GenBank	2019-12-12	441698809	2558729	319906	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.442	0.133	class_rep	Mesostigmatophyceae
GCA_977872475.1	Oedipodium griffithianum	127538	viridiplantae	Viridiplantae	Streptophyta	Oedipodiopsida	Oedipodiales	cbOedGrif2.1	Chromosome	reference genome	N	GenBank	2026-01-26	269458273	24451873	334095	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.269	0.081	class_rep	Oedipodiopsida
GCF_034140825.1	Oryza sativa Japonica Group	39947	viridiplantae	Viridiplantae	Streptophyta	Magnoliopsida	Poales	AGIS1.0	Complete Genome	reference genome	Y	RefSeq	2023-12-06	385710679	31111469	31111469	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.386	0.116	anchor	39947
GCF_000002425.5	Physcomitrium patens	3218	viridiplantae	Viridiplantae	Streptophyta	Bryopsida	Funariales	Phypa V5	Chromosome	reference genome	Y	RefSeq	2024-09-24	471971527	17432721	590131	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.472	0.142	class_rep;anchor	Bryopsida | 3218
GCA_984886295.1	Polytrichastrum alpinum	129212	viridiplantae	Viridiplantae	Streptophyta	Polytrichopsida	Polytrichales	cbPolAlpi2.1	Chromosome	reference genome	N	GenBank	2026-07-04	525522511	85911230	2177832	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.526	0.158	class_rep	Polytrichopsida
GCA_043381455.1	Riccia fluitans	41844	viridiplantae	Viridiplantae	Streptophyta	Marchantiopsida	Marchantiales	UWM_Rflu_1.0	Chromosome	reference genome	Y	GenBank	2024-10-21	446787430	57191827	4699000	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.447	0.134	class_rep	Marchantiopsida
GCF_000143415.4	Selaginella moellendorffii	88036	viridiplantae	Viridiplantae	Streptophyta	Lycopodiopsida	Selaginellales	v1.0	Scaffold	reference genome	Y	RefSeq	2010-07-06	212315224	1749879	119796	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.212	0.064	class_rep	Lycopodiopsida
GCA_965154135.1	Sphagnum tenellum	128247	viridiplantae	Viridiplantae	Streptophyta	Sphagnopsida	Sphagnales	csSphTene7.1	Chromosome	reference genome	Y	GenBank	2025-03-01	405382382	21330396	2965299	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.405	0.122	class_rep	Sphagnopsida
GCA_030704615.1	Takakia lepidozioides	37425	viridiplantae	Viridiplantae	Streptophyta	Takakiopsida	Takakiales	CNU_Tlep_v3.1	Chromosome	reference genome	N	GenBank	2023-08-14	325282794	83210691	1165551	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.325	0.098	class_rep	Takakiopsida
GCA_050084375.1	Tetraphis pellucida	37420	viridiplantae	Viridiplantae	Streptophyta	Tetraphidopsida	Tetraphidales	ASM5008437v1	Chromosome	reference genome	N	GenBank	2025-05-01	486291429	51262264	19709229	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.486	0.146	class_rep	Tetraphidopsida
GCA_049999705.1	Treubia lacunosa	93845	viridiplantae	Viridiplantae	Streptophyta	Haplomitriopsida	Treubiales	ASM4999970v1	Scaffold	reference genome	N	GenBank	2025-04-29	5033609293	2610346	30949	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	5.034	1.510	class_rep	Haplomitriopsida
GCA_037447605.1	Zygnema circumcarinatum	35869	viridiplantae	Viridiplantae	Streptophyta	Zygnematophyceae	Zygnematales	SAG698-1b_1.0	Chromosome	reference genome	N	GenBank	2024-03-22	70993573	3958312	32458	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.071	0.021	class_rep	Zygnematophyceae
