accession	call	source	length	excluded_by
A0A5C6PSU4	RYR	HMM	259	P3 259 aa < 2000 (not full length)
A0A5C6PTS3	RYR	HMM	201	P3 201 aa < 2000 (not full length)
A0A5E4AHK2	RYR	HMM	459	P3 459 aa < 2000 (not full length)
A0A5E4B2G9	RYR	HMM	582	P3 582 aa < 2000 (not full length)
A0A5E4BSK8	RYR	HMM	908	P3 908 aa < 2000 (not full length)
A0A5J5CJP8	RYR	HMM	256	P3 256 aa < 2000 (not full length)
A0A5J5CN93	RYR	HMM	258	P3 258 aa < 2000 (not full length)
A0A5J5CQW1	RYR	HMM	200	P3 200 aa < 2000 (not full length)
A0A5J5N1V2	ITPR	HMM	503	P3 503 aa < 2000 (not full length)
A0A5N3VP68	ITPR	HMM	496	P3 496 aa < 2000 (not full length)
A0A5N4DS27	RYR	HMM	647	P3 647 aa < 2000 (not full length)
A0A5N4E1B8	RYR	HMM	341	P3 341 aa < 2000 (not full length)
A0A5N5P6Z7	RYR	HMM	844	P3 844 aa < 2000 (not full length)
A0A643CGQ5	ITPR	HMM	257	P3 257 aa < 2000 (not full length)
A0A662YWA5	RYR	HMM	258	P3 258 aa < 2000 (not full length)
A0A671PJN8	RYR	HMM	654	P3 654 aa < 2000 (not full length)
A0A671RPN8	RYR	HMM	351	P3 351 aa < 2000 (not full length)
A0A672GE38	RYR	HMM	304	P3 304 aa < 2000 (not full length)
A0A672KMD4	RYR	HMM	308	P3 308 aa < 2000 (not full length)
A0A672M8N5	RYR	HMM	654	P3 654 aa < 2000 (not full length)
A0A672ZSG2	RYR	HMM	307	P3 307 aa < 2000 (not full length)
A0A673NAZ9	RYR	HMM	351	P3 351 aa < 2000 (not full length)
A0A674HFS1	RYR	HMM	309	P3 309 aa < 2000 (not full length)
A0A6B0RER4	RYR	HMM	696	P3 696 aa < 2000 (not full length)
A0A6I9MJ74	RYR	HMM	262	P3 262 aa < 2000 (not full length)
A0A6I9MR18	RYR	HMM	378	P3 378 aa < 2000 (not full length)
A0A6I9N2P4	ITPR	HMM	380	P3 380 aa < 2000 (not full length)
A0A6I9N3H3	RYR	HMM	208	P3 208 aa < 2000 (not full length)
A0A6I9ND70	ITPR	HMM	221	P3 221 aa < 2000 (not full length)
A0A6I9NPJ4	RYR	HMM	255	P3 255 aa < 2000 (not full length)
A0A6I9P644	RYR	HMM	669	P3 669 aa < 2000 (not full length)
A0A6I9PBI7	RYR	HMM	1006	P3 1006 aa < 2000 (not full length)
A0A6I9PBQ8	ITPR	HMM	664	P3 664 aa < 2000 (not full length)
A0A6I9PCC0	RYR	HMM	290	P3 290 aa < 2000 (not full length)
A0A6I9PKE3	ITPR	HMM	393	P3 393 aa < 2000 (not full length)
A0A6I9PTU4	RYR	HMM	244	P3 244 aa < 2000 (not full length)
A0A6I9XEJ8	RYR	HMM	408	P3 408 aa < 2000 (not full length)
A0A6I9XTP9	RYR	HMM	1087	P3 1087 aa < 2000 (not full length)
A0A6I9YNC5	RYR	HMM	563	P3 563 aa < 2000 (not full length)
A0A6J1TY74	ITPR	HMM	277	P3 277 aa < 2000 (not full length)
A0A6J1VXM7	RYR	HMM	554	P3 554 aa < 2000 (not full length)
A0A6J1VYH3	RYR	HMM	298	P3 298 aa < 2000 (not full length)
A0A6P7Z6F6	ITPR	HMM	278	P3 278 aa < 2000 (not full length)
A0A7F8Q554	ITPR	HMM	382	P3 382 aa < 2000 (not full length)
A0A7F8QAD4	RYR	HMM	271	P3 271 aa < 2000 (not full length)
A0A7F8QC50	RYR	HMM	498	P3 498 aa < 2000 (not full length)
A0A7F8QD46	RYR	HMM	265	P3 265 aa < 2000 (not full length)
A0A7J5XYJ6	RYR	HMM	955	P3 955 aa < 2000 (not full length)
A0A7J5YVY7	RYR	HMM	755	P3 755 aa < 2000 (not full length)
A0A7J6C295	RYR	HMM	609	P3 609 aa < 2000 (not full length)
A0A7J8AM32	RYR	HMM	567	P3 567 aa < 2000 (not full length)
A0A7K4IWH8	ITPR	HMM	350	P3 350 aa < 2000 (not full length)
A0A7K4KD81	ITPR	HMM	339	P3 339 aa < 2000 (not full length)
A0A7K4M791	ITPR	HMM	309	P3 309 aa < 2000 (not full length)
A0A7K5K7H4	ITPR	HMM	360	P3 360 aa < 2000 (not full length)
A0A7K5K8Q9	ITPR	HMM	358	P3 358 aa < 2000 (not full length)
A0A7K5Q449	ITPR	HMM	292	P3 292 aa < 2000 (not full length)
A0A7K6DI36	ITPR	HMM	351	P3 351 aa < 2000 (not full length)
A0A7K6GQ50	ITPR	HMM	341	P3 341 aa < 2000 (not full length)
A0A7K6MLF1	ITPR	HMM	225	P3 225 aa < 2000 (not full length)
A0A7K6U3A3	ITPR	HMM	359	P3 359 aa < 2000 (not full length)
A0A7K6W2W9	ITPR	HMM	362	P3 362 aa < 2000 (not full length)
A0A7K7RF33	ITPR	HMM	355	P3 355 aa < 2000 (not full length)
A0A7K7XMT0	ITPR	HMM	235	P3 235 aa < 2000 (not full length)
A0A7K8FQF1	ITPR	HMM	294	P3 294 aa < 2000 (not full length)
A0A7K8GD54	ITPR	HMM	384	P3 384 aa < 2000 (not full length)
A0A7K8MRC8	ITPR	HMM	349	P3 349 aa < 2000 (not full length)
A0A7K8R4R0	ITPR	HMM	304	P3 304 aa < 2000 (not full length)
A0A7K9BXA7	ITPR	HMM	294	P3 294 aa < 2000 (not full length)
A0A7K9HM57	RYR	HMM	280	P3 280 aa < 2000 (not full length)
A0A7L0P897	ITPR	HMM	285	P3 285 aa < 2000 (not full length)
A0A7L1GPH4	ITPR	HMM	302	P3 302 aa < 2000 (not full length)
A0A7L1HP37	ITPR	HMM	276	P3 276 aa < 2000 (not full length)
A0A7L1N5C7	RYR	HMM	280	P3 280 aa < 2000 (not full length)
A0A7L2R138	ITPR	HMM	294	P3 294 aa < 2000 (not full length)
A0A7L2RBR5	ITPR	HMM	238	P3 238 aa < 2000 (not full length)
A0A7L2RPQ8	ITPR	HMM	301	P3 301 aa < 2000 (not full length)
A0A7L2RW60	ITPR	HMM	206	P3 206 aa < 2000 (not full length)
A0A7L2YJG9	ITPR	HMM	276	P3 276 aa < 2000 (not full length)
A0A7L2ZWB9	ITPR	HMM	302	P3 302 aa < 2000 (not full length)
A0A7L3E0H6	ITPR	HMM	385	P3 385 aa < 2000 (not full length)
A0A7L3G8P0	ITPR	HMM	225	P3 225 aa < 2000 (not full length)
A0A7L3GC62	ITPR	HMM	261	P3 261 aa < 2000 (not full length)
A0A7L3GK21	ITPR	HMM	302	P3 302 aa < 2000 (not full length)
A0A7L3HKN7	ITPR	HMM	292	P3 292 aa < 2000 (not full length)
A0A7L3IAB7	ITPR	HMM	346	P3 346 aa < 2000 (not full length)
A0A7L3L1F5	ITPR	HMM	302	P3 302 aa < 2000 (not full length)
A0A7L3MLG1	ITPR	HMM	294	P3 294 aa < 2000 (not full length)
A0A7L3MT83	ITPR	HMM	216	P3 216 aa < 2000 (not full length)
A0A7L3P5S7	ITPR	HMM	283	P3 283 aa < 2000 (not full length)
A0A7L3Q7U3	ITPR	HMM	357	P3 357 aa < 2000 (not full length)
A0A7L3W8T8	ITPR	HMM	357	P3 357 aa < 2000 (not full length)
A0A7L4I8G6	ITPR	HMM	302	P3 302 aa < 2000 (not full length)
A0A7L4JCC4	ITPR	HMM	379	P3 379 aa < 2000 (not full length)
A0A7L4KBH3	ITPR	HMM	358	P3 358 aa < 2000 (not full length)
A0A7L4KV86	ITPR	HMM	344	P3 344 aa < 2000 (not full length)
A0A7L4LFE5	ITPR	HMM	302	P3 302 aa < 2000 (not full length)
A0A7L4N863	ITPR	HMM	302	P3 302 aa < 2000 (not full length)
A0A7R5K283	RYR	HMM	554	P3 554 aa < 2000 (not full length)
A0A851CUJ8	ITPR	HMM	301	P3 301 aa < 2000 (not full length)
A0A851UL19	ITPR	HMM	351	P3 351 aa < 2000 (not full length)
A0A851VTP5	ITPR	HMM	350	P3 350 aa < 2000 (not full length)
A0A852CQ30	ITPR	HMM	359	P3 359 aa < 2000 (not full length)
A0A852KC37	ITPR	HMM	342	P3 342 aa < 2000 (not full length)
A0A852MBB0	ITPR	HMM	357	P3 357 aa < 2000 (not full length)
A0A8B8RBL4	RYR	HMM	376	P3 376 aa < 2000 (not full length)
A0A8B8RG28	RYR	HMM	391	P3 391 aa < 2000 (not full length)
A0A8B8RIJ2	RYR	HMM	383	P3 383 aa < 2000 (not full length)
A0A8B8SMX4	RYR	HMM	433	P3 433 aa < 2000 (not full length)
A0A8B9DXK6	ITPR	HMM	511	P3 511 aa < 2000 (not full length)
A0A8B9LZT3	ITPR	HMM	504	P3 504 aa < 2000 (not full length)
A0A8B9NW51	RYR	HMM	342	P3 342 aa < 2000 (not full length)
A0A8B9UM55	RYR	HMM	368	P3 368 aa < 2000 (not full length)
A0A8C0GN09	RYR	HMM	301	P3 301 aa < 2000 (not full length)
A0A8C0H668	RYR	HMM	322	P3 322 aa < 2000 (not full length)
A0A8C0VGI8	ITPR	HMM	494	P3 494 aa < 2000 (not full length)
A0A8C1CAL2	RYR	HMM	623	P3 623 aa < 2000 (not full length)
A0A8C1CDC4	RYR	HMM	642	P3 642 aa < 2000 (not full length)
A0A8C1GJM4	RYR	HMM	642	P3 642 aa < 2000 (not full length)
A0A8C2SSD5	RYR	HMM	391	P3 391 aa < 2000 (not full length)
A0A8C3P471	RYR	HMM	309	P3 309 aa < 2000 (not full length)
A0A8C3XG13	RYR	HMM	474	P3 474 aa < 2000 (not full length)
A0A8C4JLQ5	RYR	HMM	313	P3 313 aa < 2000 (not full length)
A0A8C4Q9X5	ITPR	HMM	448	P3 448 aa < 2000 (not full length)
A0A8C4R1B8	RYR	HMM	314	P3 314 aa < 2000 (not full length)
A0A8C4RCA7	ITPR	HMM	856	P3 856 aa < 2000 (not full length)
A0A8C4WZZ8	RYR	HMM	365	P3 365 aa < 2000 (not full length)
A0A8C5QLR0	ITPR	HMM	494	P3 494 aa < 2000 (not full length)
A0A8C5RVM5	ITPR	HMM	437	P3 437 aa < 2000 (not full length)
A0A8C6QBY2	ITPR	HMM	492	P3 492 aa < 2000 (not full length)
A0A8C6SX62	RYR	HMM	333	P3 333 aa < 2000 (not full length)
A0A8C6TQI7	RYR	HMM	314	P3 314 aa < 2000 (not full length)
A0A8C7G4N4	RYR	HMM	840	P3 840 aa < 2000 (not full length)
A0A8C9A2R7	RYR	HMM	339	P3 339 aa < 2000 (not full length)
A0A8C9LUF2	ITPR	HMM	492	P3 492 aa < 2000 (not full length)
A0A8D0HE21	ITPR	HMM	242	P3 242 aa < 2000 (not full length)
A0A8J4UIW2	ITPR	HMM	294	P3 294 aa < 2000 (not full length)
A0A8J6AD40	RYR	HMM	522	P3 522 aa < 2000 (not full length)
A0A8J6AD43	RYR	HMM	563	P3 563 aa < 2000 (not full length)
A0A8J6ALP6	ITPR	HMM	358	P3 358 aa < 2000 (not full length)
A0A8J6E608	RYR	HMM	467	P3 467 aa < 2000 (not full length)
A0A8N5I5F8	RYR	HMM	277	P3 277 aa < 2000 (not full length)
A0A8S4AAR1	RYR	HMM	241	P3 241 aa < 2000 (not full length)
A0A8S4AE63	RYR	HMM	348	P3 348 aa < 2000 (not full length)
A0A8S4AGQ5	RYR	HMM	260	P3 260 aa < 2000 (not full length)
A0A8S4AI04	RYR	HMM	341	P3 341 aa < 2000 (not full length)
A0A8S4AM09	RYR	HMM	283	P3 283 aa < 2000 (not full length)
A0A8S4BGC5	RYR	HMM	300	P3 300 aa < 2000 (not full length)
A0A8S4BHI0	RYR	HMM	317	P3 317 aa < 2000 (not full length)
A0A8S4BKL5	RYR	HMM	306	P3 306 aa < 2000 (not full length)
A0A8S4BN56	RYR	HMM	615	P3 615 aa < 2000 (not full length)
A0A8S4BN85	RYR	HMM	617	P3 617 aa < 2000 (not full length)
A0A8T0AJ12	RYR	HMM	339	P3 339 aa < 2000 (not full length)
A0A8T1SH34	RYR	HMM	330	P3 330 aa < 2000 (not full length)
A0A8T1SQW7	RYR	HMM	381	P3 381 aa < 2000 (not full length)
A0A8T1SS80	RYR	HMM	1149	P3 1149 aa < 2000 (not full length)
A0A8T1T2G3	RYR	HMM	248	P3 248 aa < 2000 (not full length)
A0A8T2K8X5	ITPR	HMM	396	P3 396 aa < 2000 (not full length)
A0A8T2MZM2	ITPR	HMM	381	P3 381 aa < 2000 (not full length)
A0A8T2NJB9	RYR	HMM	981	P3 981 aa < 2000 (not full length)
A0A8T2PN17	RYR	HMM	507	P3 507 aa < 2000 (not full length)
A0A8T2PND7	RYR	HMM	666	P3 666 aa < 2000 (not full length)
A0A8T3DQT8	RYR	HMM	258	P3 258 aa < 2000 (not full length)
A0A8U0P797	RYR	HMM	345	P3 345 aa < 2000 (not full length)
A0A8U0U2L6	RYR	HMM	641	P3 641 aa < 2000 (not full length)
A0A8U8B5P2	RYR	HMM	686	P3 686 aa < 2000 (not full length)
A0A8X7XHD7	RYR	HMM	565	P3 565 aa < 2000 (not full length)
A0A9D3M8Q6	RYR	HMM	699	P3 699 aa < 2000 (not full length)
A0A9D3XBG3	RYR	HMM	623	P3 623 aa < 2000 (not full length)
A0A9F2WCH7	ITPR	HMM	298	P3 298 aa < 2000 (not full length)
A0A9L0JAV8	ITPR	HMM	488	P3 488 aa < 2000 (not full length)
A0A9N7VJL5	RYR	HMM	663	P3 663 aa < 2000 (not full length)
A0A9N7YAW9	ITPR	HMM	590	P3 590 aa < 2000 (not full length)
A0A9N7YEG8	ITPR	HMM	669	P3 669 aa < 2000 (not full length)
A0A9Q0Y6W2	RYR	HMM	979	P3 979 aa < 2000 (not full length)
A0A9Q1B8D4	RYR	HMM	677	P3 677 aa < 2000 (not full length)
A0AA35K507	RYR	HMM	551	P3 551 aa < 2000 (not full length)
A0AA40HB47	RYR	HMM	727	P3 727 aa < 2000 (not full length)
A0AA41NBR5	RYR	HMM	805	P3 805 aa < 2000 (not full length)
A0AA47N277	RYR	HMM	280	P3 280 aa < 2000 (not full length)
A0AA47N3J2	RYR	HMM	331	P3 331 aa < 2000 (not full length)
A0AA88RWM0	RYR	HMM	237	P3 237 aa < 2000 (not full length)
A0AA88TNG6	RYR	HMM	609	P3 609 aa < 2000 (not full length)
A0AAD3M916	RYR	HMM	219	P3 219 aa < 2000 (not full length)
A0AAD3MEV3	RYR	HMM	1022	P3 1022 aa < 2000 (not full length)
A0AAD3N197	ITPR	HMM	385	P3 385 aa < 2000 (not full length)
A0AAD3NK20	RYR	HMM	268	P3 268 aa < 2000 (not full length)
A0AAD3NLU3	RYR	HMM	377	P3 377 aa < 2000 (not full length)
A0AAD3RCR1	RYR	HMM	555	P3 555 aa < 2000 (not full length)
A0AAD3RDC3	RYR	HMM	891	P3 891 aa < 2000 (not full length)
A0AAD4TY39	RYR	HMM	697	P3 697 aa < 2000 (not full length)
A0AAD4TYQ8	RYR	HMM	220	P3 220 aa < 2000 (not full length)
A0AAD6AM61	ITPR	HMM	747	P3 747 aa < 2000 (not full length)
A0AAD6FNL3	RYR	HMM	240	P3 240 aa < 2000 (not full length)
A0AAD7R5U1	RYR	HMM	253	P3 253 aa < 2000 (not full length)
A0AAD7VZU4	RYR	HMM	1176	P3 1176 aa < 2000 (not full length)
A0AAD7VZW0	RYR	HMM	666	P3 666 aa < 2000 (not full length)
A0AAD8CEA0	RYR	HMM	627	P3 627 aa < 2000 (not full length)
A0AAD8CQ82	RYR	HMM	256	P3 256 aa < 2000 (not full length)
A0AAD9BEL3	RYR	HMM	389	P3 389 aa < 2000 (not full length)
A0AAD9BFS8	RYR	HMM	383	P3 383 aa < 2000 (not full length)
A0AAD9BGX7	RYR	HMM	351	P3 351 aa < 2000 (not full length)
A0AAD9BHZ5	RYR	HMM	893	P3 893 aa < 2000 (not full length)
A0AAE0VFV7	ITPR	HMM	479	P3 479 aa < 2000 (not full length)
A0AAN7S000	RYR	HMM	679	P3 679 aa < 2000 (not full length)
A0AAN8GKS1	RYR	HMM	624	P3 624 aa < 2000 (not full length)
A0AAN8H561	ITPR	HMM	480	P3 480 aa < 2000 (not full length)
A0AAN8HIX4	RYR	HMM	418	P3 418 aa < 2000 (not full length)
A0AAN9D3U4	RYR	HMM	609	P3 609 aa < 2000 (not full length)
A0AAV0AA75	ITPR	HMM	500	P3 500 aa < 2000 (not full length)
A0AAV1QH72	ITPR	HMM	277	P3 277 aa < 2000 (not full length)
A0AAV2M571	ITPR	HMM	453	P3 453 aa < 2000 (not full length)
A0AAV6HFK0	RYR	HMM	583	P3 583 aa < 2000 (not full length)
A0AAV6PMH0	RYR	HMM	398	P3 398 aa < 2000 (not full length)
A0AAV6YKY4	ITPR	HMM	210	P3 210 aa < 2000 (not full length)
A0AAV6YLG9	ITPR	HMM	210	P3 210 aa < 2000 (not full length)
A0AAV6YTC8	ITPR	HMM	251	P3 251 aa < 2000 (not full length)
A0AAV9QP56	RYR	HMM	240	P3 240 aa < 2000 (not full length)
A0AAV9QSJ4	RYR	HMM	949	P3 949 aa < 2000 (not full length)
A0AAV9RA88	ITPR	HMM	237	P3 237 aa < 2000 (not full length)
A0AAV9RB20	ITPR	HMM	450	P3 450 aa < 2000 (not full length)
A0AAV9S1C0	ITPR	HMM	463	P3 463 aa < 2000 (not full length)
A0AAV9S7N0	RYR	HMM	477	P3 477 aa < 2000 (not full length)
A0AAV9SL83	RYR	HMM	343	P3 343 aa < 2000 (not full length)
A0AAV9SMQ5	RYR	HMM	527	P3 527 aa < 2000 (not full length)
A0AAW0IG96	RYR	HMM	329	P3 329 aa < 2000 (not full length)
A0AAW0IGG8	RYR	HMM	228	P3 228 aa < 2000 (not full length)
A0AAW0IH86	RYR	HMM	1343	P3 1343 aa < 2000 (not full length)
A0AAW0J040	RYR	HMM	845	P3 845 aa < 2000 (not full length)
A0AAW0J044	RYR	HMM	359	P3 359 aa < 2000 (not full length)
A0AAW0MXB3	RYR	HMM	683	P3 683 aa < 2000 (not full length)
A0AAW0NKM7	RYR	HMM	743	P3 743 aa < 2000 (not full length)
A0AAW0PIW3	RYR	HMM	492	P3 492 aa < 2000 (not full length)
A0AAW0PXG6	ITPR	HMM	389	P3 389 aa < 2000 (not full length)
A0AAW1BBX2	ITPR	HMM	453	P3 453 aa < 2000 (not full length)
A0AAW1C5N5	RYR	HMM	463	P3 463 aa < 2000 (not full length)
A0AAW1C6A6	RYR	HMM	236	P3 236 aa < 2000 (not full length)
A0AAW1C7B8	RYR	HMM	247	P3 247 aa < 2000 (not full length)
A0AAY4AXU6	RYR	HMM	1193	P3 1193 aa < 2000 (not full length)
A0AAY4B0T3	RYR	HMM	1230	P3 1230 aa < 2000 (not full length)
A0AAZ1X1J1	RYR	HMM	1151	P3 1151 aa < 2000 (not full length)
A0AAZ3Q593	RYR	HMM	306	P3 306 aa < 2000 (not full length)
A0AAZ3RX18	RYR	HMM	871	P3 871 aa < 2000 (not full length)
A0AB34GMY3	RYR	HMM	786	P3 786 aa < 2000 (not full length)
A0AB34H5R5	ITPR	HMM	262	P3 262 aa < 2000 (not full length)
A0AB34HTC0	RYR	HMM	607	P3 607 aa < 2000 (not full length)
A0ABD0NSF9	RYR	HMM	435	P3 435 aa < 2000 (not full length)
A0ABD0NT67	RYR	HMM	273	P3 273 aa < 2000 (not full length)
A0ABD0P2D6	RYR	HMM	283	P3 283 aa < 2000 (not full length)
A0ABD0P2G1	RYR	HMM	325	P3 325 aa < 2000 (not full length)
A0ABD0P2Q1	RYR	HMM	426	P3 426 aa < 2000 (not full length)
A0ABD0P5V6	RYR	HMM	377	P3 377 aa < 2000 (not full length)
A0ABD0P7M9	RYR	HMM	211	P3 211 aa < 2000 (not full length)
A0ABD0P8P5	RYR	HMM	261	P3 261 aa < 2000 (not full length)
A0ABD0PY71	RYR	HMM	299	P3 299 aa < 2000 (not full length)
A0ABD0PYD6	RYR	HMM	441	P3 441 aa < 2000 (not full length)
A0ABD0Q9H2	RYR	HMM	263	P3 263 aa < 2000 (not full length)
A0ABD0Q9I7	RYR	HMM	424	P3 424 aa < 2000 (not full length)
A0ABD0QAA0	RYR	HMM	481	P3 481 aa < 2000 (not full length)
A0ABD0X2V0	RYR	HMM	314	P3 314 aa < 2000 (not full length)
A0ABD1KJV5	RYR	HMM	728	P3 728 aa < 2000 (not full length)
A0ABM0Q5J4	RYR	HMM	269	P3 269 aa < 2000 (not full length)
A0ABM0SA10	ITPR	HMM	422	P3 422 aa < 2000 (not full length)
A0ABM3DCJ1	RYR	HMM	669	P3 669 aa < 2000 (not full length)
A0ABM3DCJ5	RYR	HMM	568	P3 568 aa < 2000 (not full length)
A0ABN9CCR8	ITPR	HMM	339	P3 339 aa < 2000 (not full length)
A0ABN9ESX4	RYR	HMM	595	P3 595 aa < 2000 (not full length)
A0ABN9EWP2	RYR	HMM	217	P3 217 aa < 2000 (not full length)
A0ABN9KQ55	RYR	HMM	748	P3 748 aa < 2000 (not full length)
A0ABN9LBW3	ITPR	HMM	262	P3 262 aa < 2000 (not full length)
A0ABN9M382	RYR	HMM	535	P3 535 aa < 2000 (not full length)
A0ABN9M551	RYR	HMM	473	P3 473 aa < 2000 (not full length)
A0ABQ7SGJ6	ITPR	HMM	379	P3 379 aa < 2000 (not full length)
A0ABQ9TN76	RYR	HMM	432	P3 432 aa < 2000 (not full length)
A0ABQ9TUA3	RYR	HMM	331	P3 331 aa < 2000 (not full length)
A0ABQ9TUR3	RYR	HMM	288	P3 288 aa < 2000 (not full length)
A0ABQ9U396	ITPR	HMM	372	P3 372 aa < 2000 (not full length)
A0ABQ9V3C4	RYR	HMM	453	P3 453 aa < 2000 (not full length)
A0ABQ9VVV5	ITPR	HMM	283	P3 283 aa < 2000 (not full length)
A0ABQ9VWM6	ITPR	HMM	554	P3 554 aa < 2000 (not full length)
A0ABR3LV59	RYR	HMM	627	P3 627 aa < 2000 (not full length)
A0ABU7B008	RYR	HMM	294	P3 294 aa < 2000 (not full length)
A0ABU7B840	RYR	HMM	374	P3 374 aa < 2000 (not full length)
A0ABU7BDG4	ITPR	HMM	334	P3 334 aa < 2000 (not full length)
A0ABU7BE16	ITPR	HMM	313	P3 313 aa < 2000 (not full length)
A0ABU7BR43	RYR	HMM	350	P3 350 aa < 2000 (not full length)
A0ABU7BRW1	RYR	HMM	491	P3 491 aa < 2000 (not full length)
A0ABU7BSB9	RYR	HMM	307	P3 307 aa < 2000 (not full length)
A0ABU7BZV5	RYR	HMM	385	P3 385 aa < 2000 (not full length)
A0ABU7C3A3	RYR	HMM	464	P3 464 aa < 2000 (not full length)
A0ABU7C6L9	RYR	HMM	436	P3 436 aa < 2000 (not full length)
A0ABU7CL69	RYR	HMM	358	P3 358 aa < 2000 (not full length)
A0ABU7CQ65	RYR	HMM	439	P3 439 aa < 2000 (not full length)
A0ABU7CQL1	RYR	HMM	387	P3 387 aa < 2000 (not full length)
A0ABU7CS62	RYR	HMM	561	P3 561 aa < 2000 (not full length)
A0ABU7CSF2	RYR	HMM	244	P3 244 aa < 2000 (not full length)
A0ABU7CZY5	RYR	HMM	239	P3 239 aa < 2000 (not full length)
A0ABU7DNR7	RYR	HMM	391	P3 391 aa < 2000 (not full length)
A0ABU7E449	RYR	HMM	535	P3 535 aa < 2000 (not full length)
A0ABU7ECD7	ITPR	HMM	434	P3 434 aa < 2000 (not full length)
A0ABU7EDQ1	RYR	HMM	1430	P3 1430 aa < 2000 (not full length)
A0ABU7EDX7	RYR	HMM	263	P3 263 aa < 2000 (not full length)
A0ABU7EHA3	ITPR	HMM	529	P3 529 aa < 2000 (not full length)
A0ABU7EL23	RYR	HMM	487	P3 487 aa < 2000 (not full length)
A0ABU7ENR0	RYR	HMM	441	P3 441 aa < 2000 (not full length)
A0ABU7ER81	ITPR	HMM	437	P3 437 aa < 2000 (not full length)
A0ABU7ETD2	ITPR	HMM	341	P3 341 aa < 2000 (not full length)
A0ABU7EWW3	RYR	HMM	663	P3 663 aa < 2000 (not full length)
A0ABU7F739	RYR	HMM	432	P3 432 aa < 2000 (not full length)
A0ABV0MW26	ITPR	HMM	464	P3 464 aa < 2000 (not full length)
A0ABV0MXQ0	RYR	HMM	207	P3 207 aa < 2000 (not full length)
A0ABV0NSM1	RYR	HMM	235	P3 235 aa < 2000 (not full length)
A0ABV0NVF3	RYR	HMM	385	P3 385 aa < 2000 (not full length)
A0ABV0P251	RYR	HMM	284	P3 284 aa < 2000 (not full length)
A0ABV0P285	RYR	HMM	535	P3 535 aa < 2000 (not full length)
A0ABV0P5N3	RYR	HMM	1127	P3 1127 aa < 2000 (not full length)
A0ABV0P6V7	ITPR	HMM	300	P3 300 aa < 2000 (not full length)
A0ABV0P8D0	RYR	HMM	530	P3 530 aa < 2000 (not full length)
A0ABV0P8E6	RYR	HMM	315	P3 315 aa < 2000 (not full length)
A0ABV0PBN8	ITPR	HMM	262	P3 262 aa < 2000 (not full length)
A0ABV0PBT9	RYR	HMM	602	P3 602 aa < 2000 (not full length)
A0ABV0PBW6	RYR	HMM	856	P3 856 aa < 2000 (not full length)
A0ABV0PNG2	RYR	HMM	351	P3 351 aa < 2000 (not full length)
A0ABV0Q232	RYR	HMM	331	P3 331 aa < 2000 (not full length)
A0ABV0Q7Z6	ITPR	HMM	255	P3 255 aa < 2000 (not full length)
A0ABV0QCQ7	ITPR	HMM	293	P3 293 aa < 2000 (not full length)
A0ABV0QDM8	RYR	HMM	287	P3 287 aa < 2000 (not full length)
A0ABV0QDN3	RYR	HMM	673	P3 673 aa < 2000 (not full length)
A0ABV0QFP0	RYR	HMM	615	P3 615 aa < 2000 (not full length)
A0ABV0QSR3	RYR	HMM	548	P3 548 aa < 2000 (not full length)
A0ABV0QT21	RYR	HMM	252	P3 252 aa < 2000 (not full length)
A0ABV0R392	RYR	HMM	737	P3 737 aa < 2000 (not full length)
A0ABV0R3M2	RYR	HMM	337	P3 337 aa < 2000 (not full length)
A0ABV0RCR4	RYR	HMM	493	P3 493 aa < 2000 (not full length)
A0ABV0RI59	ITPR	HMM	327	P3 327 aa < 2000 (not full length)
A0ABV0RPF6	RYR	HMM	529	P3 529 aa < 2000 (not full length)
A0ABV0RPJ3	RYR	HMM	463	P3 463 aa < 2000 (not full length)
A0ABV0S9Y4	RYR	HMM	563	P3 563 aa < 2000 (not full length)
A0ABV0SF61	RYR	HMM	254	P3 254 aa < 2000 (not full length)
A0ABV0SIS7	RYR	HMM	350	P3 350 aa < 2000 (not full length)
A0ABV0SUJ5	RYR	HMM	292	P3 292 aa < 2000 (not full length)
A0ABV0SXT0	RYR	HMM	1008	P3 1008 aa < 2000 (not full length)
A0ABV0T279	RYR	HMM	374	P3 374 aa < 2000 (not full length)
A0ABV0T337	RYR	HMM	566	P3 566 aa < 2000 (not full length)
A0ABV0TW65	RYR	HMM	305	P3 305 aa < 2000 (not full length)
A0ABV0U2I9	RYR	HMM	358	P3 358 aa < 2000 (not full length)
A0ABV0U518	RYR	HMM	394	P3 394 aa < 2000 (not full length)
A0ABV0U8F7	RYR	HMM	777	P3 777 aa < 2000 (not full length)
A0ABV0UDF8	RYR	HMM	484	P3 484 aa < 2000 (not full length)
A0ABV0UII0	RYR	HMM	535	P3 535 aa < 2000 (not full length)
A0ABV0UJE2	RYR	HMM	305	P3 305 aa < 2000 (not full length)
A0ABV0UVR8	ITPR	HMM	692	P3 692 aa < 2000 (not full length)
A0ABV0UWE7	RYR	HMM	233	P3 233 aa < 2000 (not full length)
A0ABV0UWY9	RYR	HMM	689	P3 689 aa < 2000 (not full length)
A0ABV0V087	RYR	HMM	215	P3 215 aa < 2000 (not full length)
A0ABV0V7H1	ITPR	HMM	296	P3 296 aa < 2000 (not full length)
A0ABV0V9V8	RYR	HMM	251	P3 251 aa < 2000 (not full length)
A0ABV0VKL4	RYR	HMM	337	P3 337 aa < 2000 (not full length)
