accession	call	confidence	reason	arch_call	symbol_class	conflict	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	source
A0A8C7C8F8	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2724	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CAL0	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2741	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CAN3	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2711	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CAV6	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2641	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CC51	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2722	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CC91	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2700	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CFY9	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2735	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CG85	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2625	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CGB4	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2719	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CGC1	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2632	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CJL2	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2648	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CKG1	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2616	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CKH3	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2572	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CKJ7	ITPR	low	itpr_arch_partial=3/5;symbol=ITPR	unassigned	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	988	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		both
A0A8C7CRM2	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR3	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2611	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CS78	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR3	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2492	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CSI8	ITPR	low	itpr_arch_weak=2/5;symbol=ITPR	unassigned	ITPR	0	ITPR3	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	305	0		0	Inferred from homology	1	PF08709	PF02815;PF08709	2		both
A0A8C7CT85	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2744	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CTP8	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2621	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CXS0	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR2	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2630	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7CXU7	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR3	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2655	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7D075	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR3	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2676	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7D306	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR2	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2664	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7D3G9	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR2	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2648	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7D480	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR2	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2661	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7D4A6	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR2	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2638	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7DA93	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR3	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2656	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7DEI9	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR2	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2663	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7DHG1	ITPR	low	itpr_arch_partial=3/5;symbol=ITPR	unassigned	ITPR	0	ITPR2	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	981	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		both
A0A8C7DV40	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4819	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7E1Y5	unassigned	none	itpr_arch_partial=3/5	unassigned		0		Inositol 1,4,5-trisphosphate receptor	Naja naja (Indian cobra)	35670	Vertebrata	Metazoa	Chordata	Lepidosauria	Squamata	Elapidae	444	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		both
A0A8C7E735	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Naja naja (Indian cobra)	35670	Vertebrata	Metazoa	Chordata	Lepidosauria	Squamata	Elapidae	2397	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7E743	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Naja naja (Indian cobra)	35670	Vertebrata	Metazoa	Chordata	Lepidosauria	Squamata	Elapidae	2451	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7ENL2	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR1	Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	Neogale vison (American mink) (Mustela vison)	452646	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Mustelidae	5032	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7EQV1	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Neogale vison (American mink) (Mustela vison)	452646	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Mustelidae	2671	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7EYX5	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2558	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7F3J9	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR3	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2622	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7FBS2	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4811	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7FC32	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4775	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7FDW2	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4730	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7FKU2	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2724	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7FKW6	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2739	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7FKZ0	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2550	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7FLB2	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2518	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7FLE7	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2585	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7FLH2	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2735	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7FLI9	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2580	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7FLM6	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2602	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7FLQ6	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2597	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7FM02	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2721	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7FXE7	RYR	low	itpr_arch_weak=1/5;symbol=RYR	unassigned	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	147	0		0	Predicted	1	PF08709	PF08709	1		both
A0A8C7FXY1	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4787	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7FZ62	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4646	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7G0F5	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4707	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7G0J0	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4683	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7G1A6	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4670	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7G228	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4646	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7G252	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4788	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7G4F1	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4746	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7G5S8	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4718	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7G657	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	4798	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A8C7I1Z7	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR3	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2611	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A8C7I226	ITPR	low	itpr_arch_partial=3/5;symbol=ITPR	unassigned	ITPR	0	ITPR3	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	678	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		both
A0A8C7IQS1	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	8019	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2697	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
