accession	verdict	gene	species	length	pfams	origin	source
XP_083430969.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083430970.1	outside UniProt namespace	ITPR2		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083430971.1	outside UniProt namespace	ITPR2		2684		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083430972.1	outside UniProt namespace	ITPR2		2660		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083430973.1	outside UniProt namespace	ITPR2		2596		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083430974.1	outside UniProt namespace	ITPR2		2516		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083430975.1	outside UniProt namespace	ITPR2		2514		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083476129.1	outside UniProt namespace	ITPR3		2665		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083513249.1	outside UniProt namespace	ITPR3		2666		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083522938.1	outside UniProt namespace	ITPR2		2666		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083522939.1	outside UniProt namespace	ITPR2		2665		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083522940.1	outside UniProt namespace	ITPR2		2663		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083522941.1	outside UniProt namespace	ITPR2		2662		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083530577.1	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083530578.1	outside UniProt namespace	ITPR3		2680		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083601028.1	outside UniProt namespace	ITPR3		2665		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083626131.1	outside UniProt namespace	ITPR3		2680		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083668319.1	outside UniProt namespace	ITPR3		2665		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083668320.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083668321.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083668322.1	outside UniProt namespace	ITPR3		2648		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083668323.1	outside UniProt namespace	ITPR3		2604		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083668324.1	outside UniProt namespace	ITPR3		2604		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083734599.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083750921.1	outside UniProt namespace	ITPR3		2660		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083772602.1	outside UniProt namespace	ITPR2		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083776119.1	outside UniProt namespace	ITPR3		2695		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083776120.1	outside UniProt namespace	ITPR3		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083799289.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083799290.1	outside UniProt namespace	ITPR2		2167		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083818856.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083829876.1	outside UniProt namespace	ITPR2		2704		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083829877.1	outside UniProt namespace	ITPR2		2697		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083829878.1	outside UniProt namespace	ITPR2		2697		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083829879.1	outside UniProt namespace	ITPR2		2690		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083829880.1	outside UniProt namespace	ITPR2		2642		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083831728.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083871023.1	outside UniProt namespace	ITPR3		2677		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083871024.1	outside UniProt namespace	ITPR3		2675		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083926346.1	outside UniProt namespace	ITPR3		2696		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083926347.1	outside UniProt namespace	ITPR3		2686		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083994628.1	outside UniProt namespace	ITPR3		2657		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083994629.1	outside UniProt namespace	ITPR3		2640		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084076932.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084084130.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084131914.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084158214.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084189542.1	outside UniProt namespace	ITPR3		2005		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084223885.1	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084223886.1	outside UniProt namespace	ITPR3		2686		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084245026.1	outside UniProt namespace	ITPR3		2657		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084245027.1	outside UniProt namespace	ITPR3		2640		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084292548.1	outside UniProt namespace	ITPR3		2666		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084333170.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084333171.1	outside UniProt namespace	ITPR2		2697		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084333172.1	outside UniProt namespace	ITPR2		2697		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084333173.1	outside UniProt namespace	ITPR2		2693		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084335346.1	outside UniProt namespace	ITPR3		2714		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084354147.1	outside UniProt namespace	ITPR3		2665		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084354148.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084354149.1	outside UniProt namespace	ITPR3		2648		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084369554.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084369555.1	outside UniProt namespace	ITPR2		2685		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084369556.1	outside UniProt namespace	ITPR2		2630		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084410160.1	outside UniProt namespace	ITPR3		2682		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084410161.1	outside UniProt namespace	ITPR3		2679		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084410162.1	outside UniProt namespace	ITPR3		2672		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084410163.1	outside UniProt namespace	ITPR3		2657		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084410684.1	outside UniProt namespace	ITPR2		2689		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084410685.1	outside UniProt namespace	ITPR2		2504		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084467391.1	outside UniProt namespace	ITPR3		2663		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084487748.1	outside UniProt namespace	ITPR2		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084529263.1	outside UniProt namespace	ITPR2		2702		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084529265.1	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084529266.1	outside UniProt namespace	ITPR2		2691		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084529267.1	outside UniProt namespace	ITPR2		2690		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084535866.1	outside UniProt namespace	ITPR3		2655		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084535867.1	outside UniProt namespace	ITPR3		2654		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084535868.1	outside UniProt namespace	ITPR3		2653		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084576286.1	outside UniProt namespace	ITPR3		2693		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084591282.1	outside UniProt namespace	ITPR2		2685		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084609831.1	outside UniProt namespace	ITPR3		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084621001.1	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084621002.1	outside UniProt namespace	ITPR2		2639		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084667655.1	outside UniProt namespace	ITPR2		2729		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084667656.1	outside UniProt namespace	ITPR2		2728		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084667657.1	outside UniProt namespace	ITPR2		2728		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084667658.1	outside UniProt namespace	ITPR2		2702		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084667659.1	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084667660.1	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084667662.1	outside UniProt namespace	ITPR2		2682		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084667663.1	outside UniProt namespace	ITPR2		2655		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084667664.1	outside UniProt namespace	ITPR2		2506		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084667665.1	outside UniProt namespace	ITPR2		2378		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084696436.1	outside UniProt namespace	ITPR1		2739		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084696437.1	outside UniProt namespace	ITPR1		2736		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084696438.1	outside UniProt namespace	ITPR1		2731		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084696439.1	outside UniProt namespace	ITPR1		2730		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084696440.1	outside UniProt namespace	ITPR1		2729		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084696441.1	outside UniProt namespace	ITPR1		2721		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084696442.1	outside UniProt namespace	ITPR1		2714		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084696443.1	outside UniProt namespace	ITPR1		2711		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084696444.1	outside UniProt namespace	ITPR1		2709		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084696445.1	outside UniProt namespace	ITPR1		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084696446.1	outside UniProt namespace	ITPR1		2746		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084696447.1	outside UniProt namespace	ITPR1		2218		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084709126.1	outside UniProt namespace	ITPR3		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084709127.1	outside UniProt namespace	ITPR3		2669		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084733272.1	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084747119.1	outside UniProt namespace	ITPR3		2695		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084747120.1	outside UniProt namespace	ITPR3		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084747121.1	outside UniProt namespace	ITPR3		2667		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084758370.1	outside UniProt namespace	ITPR1		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084772456.1	outside UniProt namespace	ITPR3		2696		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084772457.1	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084789192.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084789193.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084789194.1	outside UniProt namespace	ITPR2		2560		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084812640.1	outside UniProt namespace	ITPR2		2518		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084845344.1	outside UniProt namespace	ITPR1		2734		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084845345.1	outside UniProt namespace	ITPR1		2601		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084845346.1	outside UniProt namespace	ITPR1		2586		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084905205.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084905206.1	outside UniProt namespace	ITPR2		2685		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084928353.1	outside UniProt namespace	ITPR1		2788		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084928355.1	outside UniProt namespace	ITPR1		2779		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084928356.1	outside UniProt namespace	ITPR1		2773		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084928357.1	outside UniProt namespace	ITPR1		2765		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084928358.1	outside UniProt namespace	ITPR1		2764		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084928359.1	outside UniProt namespace	ITPR1		2750		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084928360.1	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084928361.1	outside UniProt namespace	ITPR1		2740		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084928362.1	outside UniProt namespace	ITPR1		2735		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084928363.1	outside UniProt namespace	ITPR1		2726		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084928364.1	outside UniProt namespace	ITPR1		2711		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_084939178.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085003353.1	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085003354.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085024541.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085024542.1	outside UniProt namespace	ITPR2		2675		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085066843.1	outside UniProt namespace	ITPR3		2674		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085066844.1	outside UniProt namespace	ITPR3		2669		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085066845.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085066846.1	outside UniProt namespace	ITPR3		2657		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085088083.1	outside UniProt namespace	ITPR2		2683		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085088089.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085088100.1	outside UniProt namespace	ITPR2		2668		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085092351.1	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085115083.1	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085115084.1	outside UniProt namespace	ITPR3		2662		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085137946.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085156150.1	outside UniProt namespace	ITPR1		2712		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085156151.1	outside UniProt namespace	ITPR1		2697		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085156152.1	outside UniProt namespace	ITPR1		2604		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085166725.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085180597.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085180598.1	outside UniProt namespace	ITPR2		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085180599.1	outside UniProt namespace	ITPR2		2641		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085187201.1	outside UniProt namespace	ITPR1		2750		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085187203.1	outside UniProt namespace	ITPR1		2750		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085187204.1	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085187205.1	outside UniProt namespace	ITPR1		2735		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085187206.1	outside UniProt namespace	ITPR1		2735		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085187207.1	outside UniProt namespace	ITPR1		2733		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085187208.1	outside UniProt namespace	ITPR1		2727		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085187209.1	outside UniProt namespace	ITPR1		2726		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085187210.1	outside UniProt namespace	ITPR1		2710		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085187211.1	outside UniProt namespace	ITPR1		2734		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085187212.1	outside UniProt namespace	ITPR1		2695		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085193450.1	outside UniProt namespace	ITPR3		2607		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085201474.1	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085215221.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085248701.1	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085248702.1	outside UniProt namespace	ITPR3		2625		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085248703.1	outside UniProt namespace	ITPR3		2264		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085268012.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085300292.1	outside UniProt namespace	ITPR3		2696		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085317610.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372226.1	outside UniProt namespace	ITPR1		2802		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372227.1	outside UniProt namespace	ITPR1		2788		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372229.1	outside UniProt namespace	ITPR1		2787		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372230.1	outside UniProt namespace	ITPR1		2765		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372231.1	outside UniProt namespace	ITPR1		2763		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372232.1	outside UniProt namespace	ITPR1		2764		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372233.1	outside UniProt namespace	ITPR1		2750		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372234.1	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372235.1	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372236.1	outside UniProt namespace	ITPR1		2747		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372237.1	outside UniProt namespace	ITPR1		2708		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372238.1	outside UniProt namespace	ITPR1		2655		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372240.1	outside UniProt namespace	ITPR1		2641		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372241.1	outside UniProt namespace	ITPR1		1965		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372242.1	outside UniProt namespace	ITPR1		2750		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372243.1	outside UniProt namespace	ITPR1		2712		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372244.1	outside UniProt namespace	ITPR1		2736		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085372245.1	outside UniProt namespace	ITPR1		2697		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085382999.1	outside UniProt namespace	ITPR3		2647		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085397752.1	outside UniProt namespace	ITPR2		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085397757.1	outside UniProt namespace	ITPR2		2685		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085397763.1	outside UniProt namespace	ITPR2		2620		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085397771.1	outside UniProt namespace	ITPR2		1724		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085397781.1	outside UniProt namespace	ITPR2		1696		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085426478.1	outside UniProt namespace	ITPR2		2689		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085426479.1	outside UniProt namespace	ITPR2		2638		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085426480.1	outside UniProt namespace	ITPR2		2638		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085426481.1	outside UniProt namespace	ITPR2		2638		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085426482.1	outside UniProt namespace	ITPR2		2631		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085426483.1	outside UniProt namespace	ITPR2		2625		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085426484.1	outside UniProt namespace	ITPR2		2516		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085426486.1	outside UniProt namespace	ITPR2		2516		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085426487.1	outside UniProt namespace	ITPR2		2191		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446370.1	outside UniProt namespace	ITPR1		2782		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446371.1	outside UniProt namespace	ITPR1		2777		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446373.1	outside UniProt namespace	ITPR1		2769		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446374.1	outside UniProt namespace	ITPR1		2769		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446375.1	outside UniProt namespace	ITPR1		2768		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446376.1	outside UniProt namespace	ITPR1		2761		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446377.1	outside UniProt namespace	ITPR1		2755		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446378.1	outside UniProt namespace	ITPR1		2754		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446379.1	outside UniProt namespace	ITPR1		2745		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446380.1	outside UniProt namespace	ITPR1		2783		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446381.1	outside UniProt namespace	ITPR1		2609		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446382.1	outside UniProt namespace	ITPR1		2768		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446383.1	outside UniProt namespace	ITPR1		2753		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085446384.1	outside UniProt namespace	ITPR1		2731		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
