group	window_n	locus_note	contig	start	end	strand	symbol	ensembl_gene	map_status	index_in_window
RYR1	30	RYR1	NC_000019.10	38374571	38383824	+	PSMD8	ENSG00000099341	mapped	25
RYR1	30	RYR1	NC_000019.10	38384267	38388384	-	GGN	ENSG00000179168	mapped	26
RYR1	30	RYR1	NC_000019.10	38388697	38399587	+	SPRED3	ENSG00000188766	mapped	27
RYR1	30	RYR1	NC_000019.10	38403093	38409088	+	FAM98C	ENSG00000130244	mapped	28
RYR1	30	RYR1	NC_000019.10	38409058	38426219	-	RASGRP4	ENSG00000171777	mapped	29
RYR1	30	RYR1	NC_000019.10	38587641	38617953	-	MAP4K1	ENSG00000104814	mapped	30
RYR1	30	RYR1	NC_000019.10	38619188	38636954	+	EIF3K	ENSG00000178982	mapped	31
RYR1	30	RYR1	NC_000019.10	38647649	38731589	+	ACTN4	ENSG00000130402	mapped	32
RYR1	30	RYR1	NC_000019.10	38730192	38744693	-	CAPN12	ENSG00000182472	mapped	33
RYR1	30	RYR1	NC_000019.10	38770968	38773517	-	LGALS7	ENSG00000205076	mapped	34
RYR1	30	RYR1	NC_000019.10	38789200	38791754	+	LGALS7B	ENSG00000178934	mapped	35
RYR1	30	RYR1	NC_000019.10	38801674	38812945	-	LGALS4	ENSG00000171747	mapped	36
RYR1	30	RYR1	NC_000019.10	38815422	38831794	-	ECH1	ENSG00000104823	mapped	37
RYR1	30	RYR1	NC_000019.10	38836370	38852347	-	HNRNPL	ENSG00000104824	mapped	38
RYR1	30	RYR1	NC_000019.10	38867830	38878275	-	RINL	ENSG00000187994	mapped	39
RYR1	30	RYR1	NC_000019.10	38878555	38899618	-	SIRT2	ENSG00000068903	mapped	40
RYR1	30	RYR1	NC_000019.10	38899666	38908889	+	NFKBIB	ENSG00000104825	mapped	41
RYR1	30	RYR1	NC_000019.10	38908980	38912186	-	CCER2	ENSG00000262484	mapped	42
RYR1	30	RYR1	NC_000019.10	38915266	38930763	-	SARS2	ENSG00000104835	mapped	43
RYR1	30	RYR1	NC_000019.10	38930944	38933168	+	MRPS12	ENSG00000128626	mapped	44
RYR1	30	RYR1	NC_000019.10	38941401	38975742	-	FBXO17	ENSG00000269190	mapped	45
RYR1	30	RYR1	NC_000019.10	39005842	39032549	-	FBXO27	ENSG00000161243	mapped	46
RYR1	30	RYR1	NC_000019.10	39083788	39111493	+	ACP7	ENSG00000183760	mapped	47
RYR1	30	RYR1	NC_000019.10	39125786	39182816	+	PAK4	ENSG00000130669	mapped	48
RYR1	30	RYR1	NC_000019.10	39196964	39201884	+	NCCRP1	ENSG00000188505	mapped	49
RYR1	30	RYR1	NC_000019.10	39202825	39204263	-	SYCN	ENSG00000179751	mapped	50
RYR1	30	RYR1	NC_000019.10	39243455	39245250	-	IFNL3	ENSG00000197110	mapped	51
RYR1	30	RYR1	NC_000019.10	39268396	39270188	+	IFNL2	ENSG00000183709	mapped	52
RYR1	30	RYR1	NC_000019.10	39296407	39298673	+	IFNL1	ENSG00000182393	mapped	53
RYR1	30	RYR1	NC_000019.10	39306566	39320863	-	LRFN1	ENSG00000128011	mapped	54
RYR1	30	RYR1	NC_000019.10	39328359	39336043	-	GMFG	ENSG00000130755	mapped	55
RYR1	30	RYR1	NC_000019.10	39342421	39390764	+	SAMD4B	ENSG00000179134	mapped	56
RYR1	30	RYR1	NC_000019.10	39385629	39391106	-	PAF1	ENSG00000006712	mapped	57
RYR1	30	RYR1	NC_000019.10	39391378	39400641	+	MED29	ENSG00000063322	mapped	58
RYR1	30	RYR1	NC_000019.10	39406847	39409407	+	ZFP36	ENSG00000128016	mapped	59
RYR2	30	RYR2	NC_000001.11	231363756	231422287	-	EGLN1	ENSG00000135766	mapped	0
RYR2	30	RYR2	NC_000001.11	231528669	231566524	+	TSNAX	ENSG00000116918	mapped	1
RYR2	30	RYR2	NC_000001.11	231626790	232041272	+	DISC1	ENSG00000162946	mapped	2
RYR2	30	RYR2	NC_000001.11	232397965	232630496	-	SIPA1L2	ENSG00000116991	mapped	3
RYR2	30	RYR2	NC_000001.11	232805416	232809929	+	MAP10	ENSG00000212916	mapped	4
RYR2	30	RYR2	NC_000001.11	232950611	232983882	+	NTPCR	ENSG00000135778	mapped	5
RYR2	30	RYR2	NC_000001.11	232983435	233327329	-	PCNX2	ENSG00000135749	mapped	6
RYR2	30	RYR2	NC_000001.11	233327724	233385148	+	MAP3K21	ENSG00000143674	mapped	7
RYR2	30	RYR2	NC_000001.11	233614106	233672514	+	KCNK1	ENSG00000135750	mapped	8
RYR2	30	RYR2	NC_000001.11	233904676	234324511	+	SLC35F3	ENSG00000183780	mapped	9
RYR2	30	RYR2	NC_000001.11	234373456	234385080	+	COA6	ENSG00000168275	mapped	10
RYR2	30	RYR2	NC_000001.11	234391313	234479179	-	TARBP1	ENSG00000059588	mapped	11
RYR2	30	RYR2	NC_000001.11	234604269	234610178	-	IRF2BP2	ENSG00000168264	mapped	12
RYR2	30	RYR2	NC_000001.11	235109341	235128837	-	TOMM20	ENSG00000173726	mapped	13
RYR2	30	RYR2	NC_000001.11	235131183	235161250	-	RBM34	ENSG00000188739	mapped	14
RYR2	30	RYR2	NC_000001.11	235166902	235328179	-	ARID4B	ENSG00000054267	mapped	15
RYR2	30	RYR2	NC_000001.11	235327216	235344532	+	GGPS1	ENSG00000152904	mapped	16
RYR2	30	RYR2	NC_000001.11	235367427	235452443	+	TBCE	ENSG00000284770	mapped	17
RYR2	30	RYR2	NC_000001.11	235439796	235504452	-	B3GALNT2	ENSG00000162885	mapped	18
RYR2	30	RYR2	NC_000001.11	235547685	235650608	-	GNG4	ENSG00000168243	mapped	19
RYR2	30	RYR2	NC_000001.11	235661031	235883713	-	LYST	ENSG00000143669	mapped	20
RYR2	30	RYR2	NC_000001.11	235975830	236065090	-	NID1	ENSG00000116962	mapped	21
RYR2	30	RYR2	NC_000001.11	236142539	236208907	+	GPR137B	ENSG00000077585	mapped	22
RYR2	30	RYR2	NC_000001.11	236215101	236281958	-	ERO1B	ENSG00000086619	mapped	23
RYR2	30	RYR2	NC_000001.11	236348259	236484930	+	EDARADD	ENSG00000186197	mapped	24
RYR2	30	RYR2	NC_000001.11	236518214	236552981	+	LGALS8	ENSG00000116977	mapped	25
RYR2	30	RYR2	NC_000001.11	236549005	236604516	-	HEATR1	ENSG00000119285	mapped	26
RYR2	30	RYR2	NC_000001.11	236686499	236764631	+	ACTN2	ENSG00000077522	mapped	27
RYR2	30	RYR2	NC_000001.11	236795281	236903981	+	MTR	ENSG00000116984	mapped	28
RYR2	30	RYR2	NC_000001.11	237004103	237004441	-	MT1HL1	ENSG00000244020	mapped	29
RYR2	30	RYR2	NC_000001.11	237882404	237890922	-	ZP4	ENSG00000116996	mapped	30
RYR2	30	RYR2	NC_000001.11	239386568	239915450	+	CHRM3	ENSG00000133019	mapped	31
RYR2	30	RYR2	NC_000001.11	240091883	240475187	+	FMN2	ENSG00000155816	mapped	32
RYR2	30	RYR2	NC_000001.11	240489573	240612155	-	GREM2	ENSG00000180875	mapped	33
RYR2	30	RYR2	NC_000001.11	240774742	241357230	-	RGS7	ENSG00000182901	mapped	34
RYR2	30	RYR2	NC_000001.11	241497603	241519755	-	FH	ENSG00000091483	mapped	35
RYR2	30	RYR2	NC_000001.11	241532378	241595642	+	KMO	ENSG00000117009	mapped	36
RYR2	30	RYR2	NC_000001.11	241593124	241640369	-	OPN3	ENSG00000054277	mapped	37
RYR2	30	RYR2	NC_000001.11	241628851	241640369	-	CHML	ENSG00000203668	mapped	38
RYR2	30	RYR2	NC_000001.11	241652281	241802777	+	WDR64	ENSG00000162843	mapped	39
RYR2	30	RYR2	NC_000001.11	241847986	241889939	+	EXO1	ENSG00000174371	mapped	40
RYR2	30	RYR2	NC_000001.11	241957767	241959062	+	BECN2	ENSG00000196289	mapped	41
RYR2	30	RYR2	NC_000001.11	241995490	242001393	-	MAP1LC3C	ENSG00000197769	mapped	42
RYR2	30	RYR2	NC_000001.11	242082986	242530546	-	PLD5	ENSG00000180287	mapped	43
RYR2	30	RYR2	NC_000001.11	243124428	243255785	-	CEP170	ENSG00000143702	mapped	44
RYR2	30	RYR2	NC_000001.11	243256041	243500091	+	SDCCAG8	ENSG00000054282	mapped	45
RYR2	30	RYR2	NC_000001.11	243488233	243851079	-	AKT3	ENSG00000117020	mapped	46
RYR2	30	RYR2	NC_000001.11	244048491	244057476	+	ZBTB18	ENSG00000179456	mapped	47
RYR2	30	RYR2	NC_000001.11	244352635	244389663	+	SPMIP3	ENSG00000173728	mapped	48
RYR2	30	RYR2	NC_000001.11	244408494	244452060	-	ADSS2	ENSG00000035687	mapped	49
RYR2	30	RYR2	NC_000001.11	244451242	244640504	+	CATSPERE	ENSG00000179397	mapped	50
RYR2	30	RYR2	NC_000001.11	244653126	244709033	+	DESI2	ENSG00000121644	mapped	51
RYR2	30	RYR2	NC_000001.11	244729701	244731015	-	C1orf202	ENSG00000284188	mapped	52
RYR2	30	RYR2	NC_000001.11	244835306	244845063	+	COX20	ENSG00000203667	mapped	53
RYR2	30	RYR2	NC_000001.11	244850297	244864543	-	HNRNPU	ENSG00000153187	mapped	54
RYR2	30	RYR2	NC_000001.11	244864482	244907534	-	LOC124904588		unmapped	55
RYR2	30	RYR2	NC_000001.11	244965204	244970570	-	LOC124900416		unmapped	56
RYR2	30	RYR2	NC_000001.11	244969682	245125229	+	DRC8	ENSG00000203666	mapped	57
RYR2	30	RYR2	NC_000001.11	245154985	245709432	+	KIF26B	ENSG00000162849	mapped	58
RYR2	30	RYR2	NC_000001.11	245749347	246507279	-	SMYD3	ENSG00000185420	mapped	59
RYR3	30	RYR3	NC_000015.10	28841832	28848644	-	GOLGA6L7	ENSG00000261649	mapped	0
RYR3	30	RYR3	NC_000015.10	28885974	29118315	+	APBA2	ENSG00000034053	mapped	1
RYR3	30	RYR3	NC_000015.10	29117712	29675409	-	ENTREP2	ENSG00000104059	mapped	2
RYR3	30	RYR3	NC_000015.10	29264989	29269822	-	NSMCE3	ENSG00000185115	mapped	3
RYR3	30	RYR3	NC_000015.10	29699367	29969049	-	TJP1	ENSG00000104067	mapped	4
RYR3	30	RYR3	NC_000015.10	30082955	30096690	+	GOLGA8J	ENSG00000179938	mapped	5
RYR3	30	RYR3	NC_000015.10	30135051	30148748	+	GOLGA8T	ENSG00000261247	mapped	6
RYR3	30	RYR3	NC_000015.10	30360566	30393900	-	CHRFAM7A	ENSG00000166664	mapped	7
RYR3	30	RYR3	NC_000015.10	30400562	30414260	-	GOLGA8R	ENSG00000186399	mapped	8
RYR3	30	RYR3	NC_000015.10	30512772	30518467	+	LOC124903452		unmapped	9
RYR3	30	RYR3	NC_000015.10	30552050	30565684	+	GOLGA8Q	ENSG00000178115	mapped	10
RYR3	30	RYR3	NC_000015.10	30604028	30617752	+	GOLGA8H	ENSG00000261794	mapped	11
RYR3	30	RYR3	NC_000015.10	30626128	30649229	+	ARHGAP11B	ENSG00000285077	mapped	12
RYR3	30	RYR3	NC_000015.10	30798436	30802763	+	LOC101930434		unmapped	13
RYR3	30	RYR3	NC_000015.10	30903852	30943108	+	FAN1	ENSG00000198690	mapped	14
RYR3	30	RYR3	NC_000015.10	30918716	30991628	-	MTMR10	ENSG00000166912	mapped	15
RYR3	30	RYR3	NC_000015.10	31001065	31161160	-	TRPM1	ENSG00000134160	mapped	16
RYR3	30	RYR3	NC_000015.10	31326835	31435665	+	KLF13	ENSG00000169926	mapped	17
RYR3	30	RYR3	NC_000015.10	31475398	31870673	-	OTUD7A	ENSG00000169918	mapped	18
RYR3	30	RYR3	NC_000015.10	32028534	32030596	-	LOC124903441		unmapped	19
RYR3	30	RYR3	NC_000015.10	32030483	32173018	+	CHRNA7	ENSG00000175344	mapped	20
RYR3	30	RYR3	NC_000015.10	32389599	32403292	-	GOLGA8K	ENSG00000249931	mapped	21
RYR3	30	RYR3	NC_000015.10	32441914	32461984	-	GOLGA8O	ENSG00000206127	mapped	22
RYR3	30	RYR3	NC_000015.10	32489200	32494945	-	LOC100653133		unmapped	23
RYR3	30	RYR3	NC_000015.10	32593456	32607237	+	GOLGA8N	ENSG00000232653	mapped	24
RYR3	30	RYR3	NC_000015.10	32615144	32639941	+	ARHGAP11A	ENSG00000198826	mapped	25
RYR3	30	RYR3	NC_000015.10	32615476	32697098	+	ARHGAP11A-SCG5	ENSG00000288864	mapped	26
RYR3	30	RYR3	NC_000015.10	32641710	32697092	+	SCG5	ENSG00000166922	mapped	27
RYR3	30	RYR3	NC_000015.10	32718004	32745106	+	GREM1	ENSG00000166923	mapped	28
RYR3	30	RYR3	NC_000015.10	32765544	33194714	-	FMN1	ENSG00000248905	mapped	29
RYR3	30	RYR3	NC_000015.10	33851781	34075325	-	AVEN	ENSG00000169857	mapped	30
RYR3	30	RYR3	NC_000015.10	33968497	34067458	+	CHRM5	ENSG00000184984	mapped	31
RYR3	30	RYR3	NC_000015.10	34084017	34101862	-	EMC7	ENSG00000134153	mapped	32
RYR3	30	RYR3	NC_000015.10	34102083	34108686	+	PGBD4	ENSG00000182405	mapped	33
RYR3	30	RYR3	NC_000015.10	34140674	34210096	-	KATNBL1	ENSG00000134152	mapped	34
RYR3	30	RYR3	NC_000015.10	34225016	34230156	+	EMC4	ENSG00000128463	mapped	35
RYR3	30	RYR3	NC_000015.10	34229784	34338057	-	SLC12A6	ENSG00000140199	mapped	36
RYR3	30	RYR3	NC_000015.10	34341719	34343136	-	NOP10	ENSG00000182117	mapped	37
RYR3	30	RYR3	NC_000015.10	34343315	34357735	+	NUTM1	ENSG00000184507	mapped	38
RYR3	30	RYR3	NC_000015.10	34358633	34367196	-	LPCAT4	ENSG00000176454	mapped	39
RYR3	30	RYR3	NC_000015.10	34379068	34437808	-	GOLGA8A	ENSG00000175265	mapped	40
RYR3	30	RYR3	NC_000015.10	34525095	34583651	-	GOLGA8B	ENSG00000215252	mapped	41
RYR3	30	RYR3	NC_000015.10	34751032	34754998	-	GJD2	ENSG00000159248	mapped	42
RYR3	30	RYR3	NC_000015.10	34790230	34795549	-	ACTC1	ENSG00000159251	mapped	43
RYR3	30	RYR3	NC_000015.10	34851782	34969742	-	AQR	ENSG00000021776	mapped	44
RYR3	30	RYR3	NC_000015.10	34978341	34988287	-	ZNF770	ENSG00000198146	mapped	45
RYR3	30	RYR3	NC_000015.10	35083410	35085295	-	NANOGP8	ENSG00000255192	mapped	46
RYR3	30	RYR3	NC_000015.10	35144977	35546165	-	DPH6	ENSG00000134146	mapped	47
RYR3	30	RYR3	NC_000015.10	36579626	36810244	+	CDIN1	ENSG00000186073	mapped	48
RYR3	30	RYR3	NC_000015.10	36889204	37101311	-	MEIS2	ENSG00000134138	mapped	49
RYR3	30	RYR3	NC_000015.10	37934640	38040865	+	TMCO5A	ENSG00000166069	mapped	50
RYR3	30	RYR3	NC_000015.10	38252836	38357249	+	SPRED1	ENSG00000166068	mapped	51
RYR3	30	RYR3	NC_000015.10	38454127	38487710	+	FAM98B	ENSG00000171262	mapped	52
RYR3	30	RYR3	NC_000015.10	38488103	38564814	-	RASGRP1	ENSG00000172575	mapped	53
RYR3	30	RYR3	NC_000015.10	39579807	39580994	+	LOC124903470		unmapped	54
RYR3	30	RYR3	NC_000015.10	39581079	39599466	+	THBS1	ENSG00000137801	mapped	55
RYR3	30	RYR3	NC_000015.10	39597440	39782841	-	FSIP1	ENSG00000150667	mapped	56
RYR3	30	RYR3	NC_000015.10	39799008	39920266	-	GPR176	ENSG00000166073	mapped	57
RYR3	30	RYR3	NC_000015.10	39934115	40035591	+	EIF2AK4	ENSG00000128829	mapped	58
RYR3	30	RYR3	NC_000015.10	40035690	40039202	-	SRP14	ENSG00000140319	mapped	59
RYR3	30	RYR3	NC_000015.10	40087890	40108879	-	BMF	ENSG00000104081	mapped	60
