accession	organism	vclass	vorder	pair	pair_class	n_mapped_a	n_mapped_b	n_links	n_links_2R	n_families	link_symbols
GCF_042242105.1	Pempheris klunzingeri	Actinopteri	Acropomatiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	14	9	0	0	0	
GCF_964289735.1	Phaethon aethereus	Aves	Phaethontiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	18	0	0	0	
GCF_964289735.1	Phaethon aethereus	Aves	Phaethontiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	16	1	1	1	GRM7-GRM4
GCF_964289735.1	Phaethon aethereus	Aves	Phaethontiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	16	0	0	0	
GCF_963921805.1	Phalacrocorax carbo	Aves	Suliformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	18	1	0	1	BHLHE40-BHLHE41
GCF_963921805.1	Phalacrocorax carbo	Aves	Suliformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	13	1	1	1	GRM7-GRM4
GCF_963921805.1	Phalacrocorax carbo	Aves	Suliformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	13	0	0	0	
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	19	1	0	1	BHLHE40-BHLHE41
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	17	1	1	1	GRM7-GRM4
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	17	0	0	0	
GCF_949152265.1	Phoxinus phoxinus	Actinopteri	Cypriniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	23	15	1	0	1	BHLHE40-BHLHE41
GCF_949152265.1	Phoxinus phoxinus	Actinopteri	Cypriniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	23	9	0	0	0	
GCF_949152265.1	Phoxinus phoxinus	Actinopteri	Cypriniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	15	9	0	0	0	
GCF_965183815.1	Platalea leucorodia	Aves	Pelecaniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	18	1	0	1	BHLHE40-BHLHE41
GCF_965183815.1	Platalea leucorodia	Aves	Pelecaniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	14	1	1	1	GRM7-GRM4
GCF_965183815.1	Platalea leucorodia	Aves	Pelecaniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	14	0	0	0	
GCA_013399565.1	Podilymbus podiceps	Aves	Podicipediformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	7	14	0	0	0	
GCF_030490865.1	Poecile atricapillus	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	18	1	1	1	GRM7-GRM4
GCF_964638095.1	Poromitra crassiceps	Actinopteri	Beryciformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	22	13	1	0	1	BHLHE40-BHLHE41
GCF_964638095.1	Poromitra crassiceps	Actinopteri	Beryciformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	22	5	0	0	0	
GCF_964638095.1	Poromitra crassiceps	Actinopteri	Beryciformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	13	5	0	0	0	
GCF_009764475.1	Pristis pectinata	Chondrichthyes	Rhinopristiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	13	13	1	0	1	BHLHE40-BHLHE41
GCF_019279795.1	Protopterus annectens	Dipnoi	Ceratodontiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	12	17	2	1	2	BHLHE40-BHLHE41;PLXNB1-PLXNC1
GCF_019279795.1	Protopterus annectens	Dipnoi	Ceratodontiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	12	14	1	0	1	ARL8B-ARL8A
GCF_019279795.1	Protopterus annectens	Dipnoi	Ceratodontiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	14	1	0	1	UBE2N-UBE2T
GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	8	11	1	0	1	BHLHE40-BHLHE41
GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	8	9	1	1	1	GRM7-GRM4
GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	11	9	0	0	0	
GCF_000699105.1	Pygoscelis adeliae	Aves	Sphenisciformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	11	12	0	0	0	
GCF_000699105.1	Pygoscelis adeliae	Aves	Sphenisciformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	11	15	0	0	0	
GCF_000699105.1	Pygoscelis adeliae	Aves	Sphenisciformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	12	15	0	0	0	
GCF_963514005.1	Raja brachyura	Chondrichthyes	Rajiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	10	10	0	0	0	
GCF_057381845.1	Rhamphochromis longiceps	Actinopteri	Cichliformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	11	12	1	0	1	BHLHE40-BHLHE41
GCF_028389875.1	Rhea pennata	Aves	Rheiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	18	1	0	1	BHLHE40-BHLHE41
GCF_028389875.1	Rhea pennata	Aves	Rheiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	15	1	1	1	GRM7-GRM4
GCF_028389875.1	Rhea pennata	Aves	Rheiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	15	0	0	0	
GCF_901001135.2	Rhinatrema bivittatum	Amphibia	Gymnophiona	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	18	1	0	1	BHLHE40-BHLHE41
GCF_901001135.2	Rhinatrema bivittatum	Amphibia	Gymnophiona	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	18	1	1	1	GRM7-GRM4
GCF_901001135.2	Rhinatrema bivittatum	Amphibia	Gymnophiona	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	18	0	0	0	
GCA_013399305.1	Rostratula benghalensis	Aves	Charadriiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	9	13	1	0	1	BHLHE40-BHLHE41
GCF_036850765.1	Saccopteryx bilineata	Mammalia	Chiroptera	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	19	1	0	1	BHLHE40-BHLHE41
GCF_036850765.1	Saccopteryx bilineata	Mammalia	Chiroptera	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	16	0	0	0	
GCF_036850765.1	Saccopteryx bilineata	Mammalia	Chiroptera	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	16	0	0	0	
GCF_965601325.1	Salmo salar	Actinopteri	Salmoniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	12	10	0	0	0	
GCF_965601325.1	Salmo salar	Actinopteri	Salmoniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	12	5	0	0	0	
GCF_965601325.1	Salmo salar	Actinopteri	Salmoniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	10	5	0	0	0	
GCF_027409825.1	Scomber japonicus	Actinopteri	Scombriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	21	12	1	0	1	BHLHE40-BHLHE41
GCF_027409825.1	Scomber japonicus	Actinopteri	Scombriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	21	5	0	0	0	
GCF_027409825.1	Scomber japonicus	Actinopteri	Scombriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	12	5	0	0	0	
GCF_047496885.1	Scyliorhinus torazame	Chondrichthyes	Carcharhiniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	9	12	0	0	0	
GCA_013400415.1	Scytalopus superciliaris	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	7	10	0	0	0	
GCA_013399895.1	Serilophus lunatus	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	12	12	0	0	0	
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	10	6	1	0	1	BHLHE40-BHLHE41
GCF_048593235.1	Sminthopsis crassicaudata	Mammalia	Dasyuromorphia	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	20	1	0	1	BHLHE40-BHLHE41
GCF_048593235.1	Sminthopsis crassicaudata	Mammalia	Dasyuromorphia	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	19	1	1	1	GRM7-GRM4
GCF_048593235.1	Sminthopsis crassicaudata	Mammalia	Dasyuromorphia	ITPR2_vs_ITPR3	ITPR_vs_ITPR	20	19	0	0	0	
GCF_027595985.1	Sorex araneus	Mammalia	Eulipotyphla	ITPR1_vs_ITPR2	ITPR_vs_ITPR	15	17	1	0	1	BHLHE40-BHLHE41
GCF_027595985.1	Sorex araneus	Mammalia	Eulipotyphla	ITPR1_vs_ITPR3	ITPR_vs_ITPR	15	18	1	1	1	GRM7-GRM4
GCF_027595985.1	Sorex araneus	Mammalia	Eulipotyphla	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	18	0	0	0	
GCF_900880675.2	Sparus aurata	Actinopteri	Spariformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	20	11	1	0	1	BHLHE40-BHLHE41
GCF_902148855.1	Sphaeramia orbicularis	Actinopteri	Kurtiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	15	13	1	0	1	BHLHE40-BHLHE41
GCF_902148855.1	Sphaeramia orbicularis	Actinopteri	Kurtiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	15	5	0	0	0	
GCF_902148855.1	Sphaeramia orbicularis	Actinopteri	Kurtiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	13	5	0	0	0	
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	Squamata	ITPR1_vs_ITPR2	ITPR_vs_ITPR	13	16	1	0	1	BHLHE40-BHLHE41
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	Squamata	ITPR1_vs_ITPR3	ITPR_vs_ITPR	13	18	1	1	1	GRM7-GRM4
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	Squamata	ITPR2_vs_ITPR3	ITPR_vs_ITPR	16	18	1	1	1	STK38L-STK38
GCA_054099775.1	Steatornis caripensis	Aves	Caprimulgiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	19	1	0	1	BHLHE40-BHLHE41
GCA_054099775.1	Steatornis caripensis	Aves	Caprimulgiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	18	1	1	1	GRM7-GRM4
GCA_054099775.1	Steatornis caripensis	Aves	Caprimulgiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	18	0	0	0	
GCF_047716275.1	Strix uralensis	Aves	Strigiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	19	1	0	1	BHLHE40-BHLHE41
GCF_047716275.1	Strix uralensis	Aves	Strigiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	17	1	1	1	GRM7-GRM4
GCF_047716275.1	Strix uralensis	Aves	Strigiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	17	0	0	0	
GCF_040807025.1	Struthio camelus	Aves	Struthioniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	15	20	1	0	1	BHLHE40-BHLHE41
GCF_040807025.1	Struthio camelus	Aves	Struthioniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	15	16	1	1	1	GRM7-GRM4
GCF_040807025.1	Struthio camelus	Aves	Struthioniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	20	16	0	0	0	
GCF_000698965.1	Struthio camelus australis	Aves	Struthioniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	8	6	0	0	0	
GCF_000698965.1	Struthio camelus australis	Aves	Struthioniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	8	10	0	0	0	
GCF_000698965.1	Struthio camelus australis	Aves	Struthioniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	6	10	0	0	0	
GCA_014839755.1	Sylvia borin	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	16	1	0	1	BHLHE40-BHLHE41
GCA_014839755.1	Sylvia borin	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	16	1	1	1	GRM7-GRM4
GCA_014839755.1	Sylvia borin	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	16	16	0	0	0	
GCF_901000725.3	Takifugu rubripes	Actinopteri	Tetraodontiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	11	0	0	0	
GCF_901000725.3	Takifugu rubripes	Actinopteri	Tetraodontiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	6	0	0	0	
GCF_901000725.3	Takifugu rubripes	Actinopteri	Tetraodontiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	11	6	0	0	0	
GCF_023851605.1	Tamandua tetradactyla	Mammalia	Pilosa	ITPR1_vs_ITPR2	ITPR_vs_ITPR	11	16	1	0	1	BHLHE40-BHLHE41
GCF_023851605.1	Tamandua tetradactyla	Mammalia	Pilosa	ITPR1_vs_ITPR3	ITPR_vs_ITPR	11	19	1	1	1	GRM7-GRM4
GCF_023851605.1	Tamandua tetradactyla	Mammalia	Pilosa	ITPR2_vs_ITPR3	ITPR_vs_ITPR	16	19	0	0	0	
GCF_009769465.1	Tauraco erythrolophus	Aves	Musophagiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	19	1	0	1	BHLHE40-BHLHE41
GCF_009769465.1	Tauraco erythrolophus	Aves	Musophagiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	16	1	1	1	GRM7-GRM4
GCF_009769465.1	Tauraco erythrolophus	Aves	Musophagiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	16	0	0	0	
GCF_933228915.1	Telmatherina bonti	Actinopteri	Atheriniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	14	1	0	1	BHLHE40-BHLHE41
GCF_933228915.1	Telmatherina bonti	Actinopteri	Atheriniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	7	0	0	0	
GCF_933228915.1	Telmatherina bonti	Actinopteri	Atheriniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	14	7	0	0	0	
GCF_050624435.1	Tenrec ecaudatus	Mammalia	Afrosoricida	ITPR1_vs_ITPR2	ITPR_vs_ITPR	9	15	1	0	1	BHLHE40-BHLHE41
GCF_050624435.1	Tenrec ecaudatus	Mammalia	Afrosoricida	ITPR1_vs_ITPR3	ITPR_vs_ITPR	9	19	1	1	1	GRM7-GRM4
GCF_050624435.1	Tenrec ecaudatus	Mammalia	Afrosoricida	ITPR2_vs_ITPR3	ITPR_vs_ITPR	15	19	0	0	0	
GCF_902500255.1	Thalassophryne amazonica	Actinopteri	Batrachoidiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	13	1	0	1	BHLHE40-BHLHE41
GCF_902500255.1	Thalassophryne amazonica	Actinopteri	Batrachoidiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	10	0	0	0	
GCF_902500255.1	Thalassophryne amazonica	Actinopteri	Batrachoidiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	13	10	0	0	0	
GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	5	6	0	0	0	
GCF_045865225.1	Trachurus japonicus	Actinopteri	Carangiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	20	10	1	0	1	BHLHE40-BHLHE41
GCF_045865225.1	Trachurus japonicus	Actinopteri	Carangiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	20	10	0	0	0	
GCF_045865225.1	Trachurus japonicus	Actinopteri	Carangiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	10	10	0	0	0	
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	ITPR1_vs_ITPR2	ITPR_vs_ITPR	15	18	1	0	1	BHLHE40-BHLHE41
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	ITPR1_vs_ITPR3	ITPR_vs_ITPR	15	19	1	1	1	GRM7-GRM4
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	19	0	0	0	
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	Scandentia	ITPR2_vs_ITPR3	ITPR_vs_ITPR	16	19	0	0	0	
GCA_013399735.1	Tyrannus savana	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	11	11	0	0	0	
GCF_018691265.1	Tyto alba	Aves	Strigiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	15	17	1	0	1	BHLHE40-BHLHE41
GCF_018691265.1	Tyto alba	Aves	Strigiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	15	16	1	1	1	GRM7-GRM4
GCF_018691265.1	Tyto alba	Aves	Strigiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	16	0	0	0	
GCF_000004195.4	Xenopus tropicalis	Amphibia	Anura	ITPR1_vs_ITPR2	ITPR_vs_ITPR	14	14	1	0	1	BHLHE40-BHLHE41
GCF_000004195.4	Xenopus tropicalis	Amphibia	Anura	ITPR1_vs_ITPR3	ITPR_vs_ITPR	14	18	3	1	3	CNTN4-CNTN2;CNTN4-NFASC;GRM7-GRM4
GCF_000004195.4	Xenopus tropicalis	Amphibia	Anura	ITPR2_vs_ITPR3	ITPR_vs_ITPR	14	18	0	0	0	
GCF_016859285.1	Xiphias gladius	Actinopteri	Istiophoriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	11	1	0	1	BHLHE40-BHLHE41
GCF_016859285.1	Xiphias gladius	Actinopteri	Istiophoriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	9	0	0	0	
GCF_016859285.1	Xiphias gladius	Actinopteri	Istiophoriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	11	9	0	0	0	
GCF_960531495.1	Zeus faber	Actinopteri	Zeiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	22	13	1	0	1	BHLHE40-BHLHE41
GCF_960531495.1	Zeus faber	Actinopteri	Zeiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	22	10	0	0	0	
GCF_960531495.1	Zeus faber	Actinopteri	Zeiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	13	10	0	0	0	
GCA_013399795.1	Zosterops hypoxanthus	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	5	6	1	0	1	BHLHE40-BHLHE41
