accession	organism	vclass	cell	locus_idx	state	in_architecture_scope	architecture_excluded_by	n_models	n_internal_termini	n_at_exon_boundary	n_mid_exon	n_in_intron	n_splice_ok	n_both_agree	frac_at_exon_boundary	frac_splice_ok	verdict	verdict_reason
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	0	split	1		2	3	1	2	0	1	1	0.3333	0.3333	annotation_failure	2 of 3 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	1	split	1		3	5	0	4	1	2	0	0	0.4	annotation_failure	4 of 5 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR3	0	split	1		3	5	1	0	4	2	1	0.2	0.4	structure_disagreement	4 of 5 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	3	fragmentary	1		2	2	0	1	1	1	0	0	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_031835075.1	Saguinus oedipus	Mammalia	ITPR1	0	fragmentary	1		1	2	0	0	2	0	0	0	0	structure_disagreement	2 of 2 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_031835075.1	Saguinus oedipus	Mammalia	ITPR2	0	fragmentary	1		5	10	3	2	5	5	3	0.3	0.5	annotation_failure	2 of 10 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_031835075.1	Saguinus oedipus	Mammalia	ITPR3	0	split	1		4	8	1	3	4	1	0	0.125	0.125	annotation_failure	3 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	0	fragmentary	1		6	12	9	2	1	11	9	0.75	0.9167	annotation_failure	2 of 12 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	1	split	1		11	22	2	5	15	5	2	0.0909	0.2273	annotation_failure	5 of 22 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	2	fragmentary	1		5	10	5	2	3	5	5	0.5	0.5	annotation_failure	2 of 10 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_033238685.1	Lates japonicus	Actinopteri	ITPR1	1	split	1		2	3	1	1	1	1	1	0.3333	0.3333	annotation_failure	1 of 3 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_033238685.1	Lates japonicus	Actinopteri	ITPR3	0	fragmentary	1		2	4	1	3	0	1	1	0.25	0.25	annotation_failure	3 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_033238685.1	Lates japonicus	Actinopteri	ITPR3	1	split	1		2	4	4	0	0	4	4	1	1	broken_at_real_junctions	all 4 internal termini are exon boundaries the genome reads as splice sites — the annotation broke the gene between real junctions, not at invented ones
GCA_033238685.1	Lates japonicus	Actinopteri	RYR	0	split	1		6	12	7	4	1	11	7	0.5833	0.9167	annotation_failure	4 of 12 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_033238685.1	Lates japonicus	Actinopteri	RYR	1	fragmentary	1		3	5	0	4	1	0	0	0	0	annotation_failure	4 of 5 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_033238685.1	Lates japonicus	Actinopteri	RYR	5	fragmentary	1		2	4	0	1	3	2	0	0	0.5	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR1	0	fragmentary	1		9	17	14	2	1	16	14	0.8235	0.9412	annotation_failure	2 of 17 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR1	1	fragmentary	1		12	24	18	5	1	23	18	0.75	0.9583	annotation_failure	5 of 24 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR2	0	fragmentary	1		15	30	19	7	4	25	19	0.6333	0.8333	annotation_failure	7 of 30 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR3	0	fragmentary	1		2	4	2	1	1	2	2	0.5	0.5	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	0	fragmentary	1		8	16	9	4	3	14	9	0.5625	0.875	annotation_failure	4 of 16 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	1	fragmentary	1		8	16	7	7	2	12	7	0.4375	0.75	annotation_failure	7 of 16 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	2	fragmentary	1		14	28	18	8	2	26	18	0.6429	0.9286	annotation_failure	8 of 28 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	3	fragmentary	1		18	36	26	7	3	32	26	0.7222	0.8889	annotation_failure	7 of 36 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	4	fragmentary	1		10	20	10	6	4	15	10	0.5	0.75	annotation_failure	6 of 20 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	5	fragmentary	1		9	18	11	6	1	17	11	0.6111	0.9444	annotation_failure	6 of 18 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_040091285.1	Ameca splendens	Actinopteri	ITPR1	2	fragmentary	0	A1_not_a_gene_copy	1	1	0	0	1	0	0	0	0	structure_disagreement	1 of 1 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR1	1	fragmentary	0	A1_not_a_gene_copy	1	1	0	0	1	0	0	0	0	structure_disagreement	1 of 1 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR1	2	fragmentary	0	A1_not_a_gene_copy	2	4	1	0	3	2	1	0.25	0.5	structure_disagreement	3 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR2	0	fragmentary	0	A1_not_a_gene_copy	1	2	0	1	1	1	0	0	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR2	1	fragmentary	0	A1_not_a_gene_copy	1	2	0	1	1	1	0	0	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR3	0	split	0	A1_not_a_gene_copy	2	4	0	1	3	1	0	0	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR3	2	fragmentary	0	A1_not_a_gene_copy	1	1	0	1	0	0	0	0	0	annotation_failure	1 of 1 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_040091325.1	Goodea atripinnis	Actinopteri	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	1	1	2	2	1	0.25	0.5	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_040091325.1	Goodea atripinnis	Actinopteri	RYR	1	split	0	A1_not_a_gene_copy	2	4	2	0	2	3	2	0.5	0.75	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_040091325.1	Goodea atripinnis	Actinopteri	RYR	2	fragmentary	0	A1_not_a_gene_copy	1	2	1	0	1	1	1	0.5	0.5	structure_disagreement	1 of 2 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_040091325.1	Goodea atripinnis	Actinopteri	RYR	3	split	0	A1_not_a_gene_copy	2	4	0	1	3	2	0	0	0.5	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_040091325.1	Goodea atripinnis	Actinopteri	RYR	5	fragmentary	0	A1_not_a_gene_copy	1	2	1	0	1	1	1	0.5	0.5	structure_disagreement	1 of 2 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_040091325.1	Goodea atripinnis	Actinopteri	RYR	6	fragmentary	0	A1_not_a_gene_copy	1	2	1	0	1	0	0	0.5	0	structure_disagreement	1 of 2 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_040091335.1	Xenoophorus captivus	Actinopteri	ITPR1	0	fragmentary	0	A1_not_a_gene_copy	2	4	0	3	1	2	0	0	0.5	annotation_failure	3 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_040091335.1	Xenoophorus captivus	Actinopteri	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	1	1	4	3	1	0.1667	0.5	annotation_failure	1 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_040091335.1	Xenoophorus captivus	Actinopteri	ITPR2	1	fragmentary	0	A1_not_a_gene_copy	1	2	0	1	1	1	0	0	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_040091335.1	Xenoophorus captivus	Actinopteri	ITPR3	0	split	0	A1_not_a_gene_copy	2	4	1	0	3	1	1	0.25	0.25	structure_disagreement	3 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_040091335.1	Xenoophorus captivus	Actinopteri	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	0	2	2	2	0.5	0.5	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_040091335.1	Xenoophorus captivus	Actinopteri	RYR	1	fragmentary	0	A1_not_a_gene_copy	2	4	1	1	2	1	0	0.25	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_040091335.1	Xenoophorus captivus	Actinopteri	RYR	2	fragmentary	0	A1_not_a_gene_copy	2	4	0	1	3	2	0	0	0.5	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	ITPR2	2	fragmentary	0	A1_not_a_gene_copy	1	1	0	0	1	0	0	0	0	structure_disagreement	1 of 1 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	RYR	1	fragmentary	0	A1_not_a_gene_copy	1	2	0	1	1	0	0	0	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_951230385.1	Staurois parvus	Amphibia	ITPR1	0	fragmentary	1		3	6	3	1	2	3	3	0.5	0.5	annotation_failure	1 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_951230385.1	Staurois parvus	Amphibia	ITPR2	0	split	0	A1_not_a_gene_copy	5	10	0	7	3	0	0	0	0	annotation_failure	7 of 10 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_951230385.1	Staurois parvus	Amphibia	ITPR3	1	fragmentary	0	A1_not_a_gene_copy	3	6	0	4	2	0	0	0	0	annotation_failure	4 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_951230385.1	Staurois parvus	Amphibia	RYR	0	fragmentary	1		3	5	0	3	2	0	0	0	0	annotation_failure	3 of 5 internal model termini sit inside an exon of the gene model, where nothing splices
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	RYR	2	split	1		3	5	0	3	2	2	0	0	0.4	annotation_failure	3 of 5 internal model termini sit inside an exon of the gene model, where nothing splices
GCF_965601325.1	Salmo salar	Actinopteri	RYR	1	fragmentary	1		5	10	1	2	7	2	1	0.1	0.2	annotation_failure	2 of 10 internal model termini sit inside an exon of the gene model, where nothing splices
