accession	organism	vclass	source	cell	locus_idx	state	n_annot_edges	n_exact	n_within_tol	n_no_match	frac_exact	frac_within_tol	n_model_exons	n_annot_blocks	median_offset
GCF_027579695.1	Neoarius graeffei	Actinopteri	RefSeq	RYR	3	complete	208	194	194	14	0.9327	0.9327	102	105	0
GCF_027579695.1	Neoarius graeffei	Actinopteri	RefSeq	RYR	0	complete	212	206	208	4	0.9717	0.9811	106	107	0
GCF_027579695.1	Neoarius graeffei	Actinopteri	RefSeq	RYR	2	complete	212	203	203	9	0.9575	0.9575	104	107	0
GCF_027579735.1	Bombina bombina	Amphibia	RefSeq	ITPR1	0	complete	112	108	108	4	0.9643	0.9643	58	57	0
GCF_027579735.1	Bombina bombina	Amphibia	RefSeq	ITPR2	0	complete	140	110	110	30	0.7857	0.7857	57	71	0
GCF_027579735.1	Bombina bombina	Amphibia	RefSeq	ITPR3	0	complete	158	103	105	53	0.6519	0.6646	58	80	0
GCF_027579735.1	Bombina bombina	Amphibia	RefSeq	RYR	1	complete	212	200	200	12	0.9434	0.9434	104	107	0
GCF_027579735.1	Bombina bombina	Amphibia	RefSeq	RYR	0	complete	226	208	208	18	0.9204	0.9204	106	114	0
GCF_027595985.1	Sorex araneus	Mammalia	RefSeq	ITPR1	0	complete	118	117	117	1	0.9915	0.9915	60	60	0
GCF_027595985.1	Sorex araneus	Mammalia	RefSeq	ITPR2	0	complete	114	111	111	3	0.9737	0.9737	57	58	0
GCF_027595985.1	Sorex araneus	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_027595985.1	Sorex araneus	Mammalia	RefSeq	RYR	2	complete	206	184	184	22	0.8932	0.8932	100	104	0
GCF_027595985.1	Sorex araneus	Mammalia	RefSeq	RYR	1	complete	216	206	206	10	0.9537	0.9537	105	109	0
GCF_027595985.1	Sorex araneus	Mammalia	RefSeq	RYR	0	complete	206	204	204	2	0.9903	0.9903	105	104	0
GCF_028372415.1	Notamacropus eugenii	Mammalia	RefSeq	ITPR1	0	complete	118	117	117	1	0.9915	0.9915	60	60	0
GCF_028372415.1	Notamacropus eugenii	Mammalia	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_028372415.1	Notamacropus eugenii	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_028372415.1	Notamacropus eugenii	Mammalia	RefSeq	RYR	0	complete	216	205	205	11	0.9491	0.9491	105	109	0
GCF_028372415.1	Notamacropus eugenii	Mammalia	RefSeq	RYR	1	complete	208	205	205	3	0.9856	0.9856	105	105	0
GCF_028372415.1	Notamacropus eugenii	Mammalia	RefSeq	RYR	2	complete	208	194	194	14	0.9327	0.9327	101	105	0
GCF_028389875.1	Rhea pennata	Aves	RefSeq	ITPR1	0	complete	112	112	112	0	1	1	62	57	0
GCF_028389875.1	Rhea pennata	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_028389875.1	Rhea pennata	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_028389875.1	Rhea pennata	Aves	RefSeq	RYR	0	complete	208	203	204	4	0.976	0.9808	104	105	0
GCF_028389875.1	Rhea pennata	Aves	RefSeq	RYR	1	complete	206	191	191	15	0.9272	0.9272	101	104	0
GCF_028858725.1	Colius striatus	Aves	RefSeq	ITPR1	0	complete	112	112	112	0	1	1	62	57	0
GCF_028858725.1	Colius striatus	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_028858725.1	Colius striatus	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_028858725.1	Colius striatus	Aves	RefSeq	RYR	0	complete	204	202	202	2	0.9902	0.9902	102	103	0
GCF_028858725.1	Colius striatus	Aves	RefSeq	RYR	1	complete	206	193	193	13	0.9369	0.9369	103	104	0
GCF_029633855.1	Hoplias malabaricus	Actinopteri	RefSeq	ITPR1	0	complete	118	117	117	1	0.9915	0.9915	60	60	0
GCF_029633855.1	Hoplias malabaricus	Actinopteri	RefSeq	ITPR1	1	complete	120	107	107	13	0.8917	0.8917	58	61	0
GCF_029633855.1	Hoplias malabaricus	Actinopteri	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_029633855.1	Hoplias malabaricus	Actinopteri	RefSeq	ITPR3	0	complete	114	110	110	4	0.9649	0.9649	58	58	0
GCF_029633855.1	Hoplias malabaricus	Actinopteri	RefSeq	RYR	4	complete	202	197	197	5	0.9752	0.9752	102	102	0
GCF_029633855.1	Hoplias malabaricus	Actinopteri	RefSeq	RYR	2	complete	210	195	195	15	0.9286	0.9286	102	106	0
GCF_029633855.1	Hoplias malabaricus	Actinopteri	RefSeq	RYR	3	complete	204	194	194	10	0.951	0.951	101	103	0
GCF_029633855.1	Hoplias malabaricus	Actinopteri	RefSeq	RYR	0	complete	214	207	207	7	0.9673	0.9673	105	108	0
GCF_029633865.1	Lampris incognitus	Actinopteri	RefSeq	ITPR1	0	complete	112	110	110	2	0.9821	0.9821	58	57	0
GCF_029633865.1	Lampris incognitus	Actinopteri	RefSeq	ITPR1	1	complete	116	109	109	7	0.9397	0.9397	57	59	0
GCF_029633865.1	Lampris incognitus	Actinopteri	RefSeq	ITPR2	0	complete	110	105	105	5	0.9545	0.9545	56	56	0
GCF_029633865.1	Lampris incognitus	Actinopteri	RefSeq	ITPR3	0	complete	80	65	65	15	0.8125	0.8125	44	41	0
GCF_029633865.1	Lampris incognitus	Actinopteri	RefSeq	RYR	1	complete	214	203	203	11	0.9486	0.9486	104	108	0
GCF_029633865.1	Lampris incognitus	Actinopteri	RefSeq	RYR	2	complete	196	183	183	13	0.9337	0.9337	97	99	0
GCF_029633865.1	Lampris incognitus	Actinopteri	RefSeq	RYR	5	complete	212	192	192	20	0.9057	0.9057	103	107	0
GCF_029633865.1	Lampris incognitus	Actinopteri	RefSeq	RYR	3	complete	210	193	193	17	0.919	0.919	103	106	0
GCF_029633865.1	Lampris incognitus	Actinopteri	RefSeq	RYR	0	complete	234	219	219	15	0.9359	0.9359	114	118	0
GCF_030020395.1	Manis pentadactyla	Mammalia	RefSeq	ITPR1	0	complete	118	117	117	1	0.9915	0.9915	60	60	0
GCF_030020395.1	Manis pentadactyla	Mammalia	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_030020395.1	Manis pentadactyla	Mammalia	RefSeq	ITPR3	0	complete	116	114	114	2	0.9828	0.9828	58	59	0
GCF_030020395.1	Manis pentadactyla	Mammalia	RefSeq	RYR	0	complete	206	204	204	2	0.9903	0.9903	105	104	0
GCF_030020395.1	Manis pentadactyla	Mammalia	RefSeq	RYR	2	complete	208	190	190	18	0.9135	0.9135	102	105	0
GCF_030020395.1	Manis pentadactyla	Mammalia	RefSeq	RYR	1	complete	210	206	206	4	0.981	0.981	105	106	0
GCF_030445035.2	Dasypus novemcinctus	Mammalia	RefSeq	ITPR1	0	complete	118	117	117	1	0.9915	0.9915	60	60	0
GCF_030445035.2	Dasypus novemcinctus	Mammalia	RefSeq	ITPR2	0	complete	114	111	111	3	0.9737	0.9737	57	58	0
GCF_030445035.2	Dasypus novemcinctus	Mammalia	RefSeq	ITPR3	0	complete	116	114	114	2	0.9828	0.9828	58	59	0
GCF_030445035.2	Dasypus novemcinctus	Mammalia	RefSeq	RYR	2	complete	206	191	191	15	0.9272	0.9272	100	104	0
GCF_030445035.2	Dasypus novemcinctus	Mammalia	RefSeq	RYR	0	complete	206	201	202	4	0.9757	0.9806	105	104	0
GCF_030445035.2	Dasypus novemcinctus	Mammalia	RefSeq	RYR	1	complete	210	202	202	8	0.9619	0.9619	104	106	0
GCF_030463565.1	Pelecanus crispus	Aves	RefSeq	ITPR1	0	complete	120	116	116	4	0.9667	0.9667	62	61	0
GCF_030463565.1	Pelecanus crispus	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_030463565.1	Pelecanus crispus	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_030463565.1	Pelecanus crispus	Aves	RefSeq	RYR	0	complete	212	204	204	8	0.9623	0.9623	104	107	0
GCF_030463565.1	Pelecanus crispus	Aves	RefSeq	RYR	1	complete	208	191	191	17	0.9183	0.9183	101	105	0
GCF_030490865.1	Poecile atricapillus	Aves	RefSeq	ITPR1	0	complete	112	112	112	0	1	1	62	57	0
GCF_030490865.1	Poecile atricapillus	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_030490865.1	Poecile atricapillus	Aves	RefSeq	ITPR2	1	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_030490865.1	Poecile atricapillus	Aves	RefSeq	ITPR3	0	complete	114	112	112	2	0.9825	0.9825	58	58	0
GCF_030490865.1	Poecile atricapillus	Aves	RefSeq	RYR	2	complete	206	195	195	11	0.9466	0.9466	103	104	0
GCF_030490865.1	Poecile atricapillus	Aves	RefSeq	RYR	0	complete	206	203	204	2	0.9854	0.9903	104	104	0
GCF_030490865.1	Poecile atricapillus	Aves	RefSeq	RYR	1	complete	210	199	199	11	0.9476	0.9476	103	106	0
GCF_030867095.1	Alligator mississippiensis	Crocodylia	RefSeq	ITPR1	0	complete	114	110	110	4	0.9649	0.9649	61	58	0
GCF_030867095.1	Alligator mississippiensis	Crocodylia	RefSeq	ITPR2	0	complete	114	110	110	4	0.9649	0.9649	57	58	0
GCF_030867095.1	Alligator mississippiensis	Crocodylia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_030867095.1	Alligator mississippiensis	Crocodylia	RefSeq	RYR	0	complete	204	200	200	4	0.9804	0.9804	104	103	0
GCF_030867095.1	Alligator mississippiensis	Crocodylia	RefSeq	RYR	2	complete	204	190	190	14	0.9314	0.9314	102	103	0
GCF_030867095.1	Alligator mississippiensis	Crocodylia	RefSeq	RYR	1	complete	208	205	205	3	0.9856	0.9856	104	105	0
GCF_030867145.1	Opisthocomus hoazin	Aves	RefSeq	ITPR1	0	complete	118	116	116	2	0.9831	0.9831	62	60	0
GCF_030867145.1	Opisthocomus hoazin	Aves	RefSeq	ITPR2	0	complete	116	111	111	5	0.9569	0.9569	57	59	0
GCF_030867145.1	Opisthocomus hoazin	Aves	RefSeq	ITPR3	0	complete	114	112	112	2	0.9825	0.9825	58	58	0
GCF_030867145.1	Opisthocomus hoazin	Aves	RefSeq	RYR	0	complete	208	204	204	4	0.9808	0.9808	104	105	0
GCF_030867145.1	Opisthocomus hoazin	Aves	RefSeq	RYR	1	complete	206	190	190	16	0.9223	0.9223	101	104	0
GCF_030936135.1	Gavia stellata	Aves	RefSeq	ITPR1	0	complete	112	111	111	1	0.9911	0.9911	62	57	0
GCF_030936135.1	Gavia stellata	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_030936135.1	Gavia stellata	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_030936135.1	Gavia stellata	Aves	RefSeq	RYR	0	complete	210	195	195	15	0.9286	0.9286	104	106	0
GCF_030936135.1	Gavia stellata	Aves	RefSeq	RYR	1	complete	210	191	191	19	0.9095	0.9095	103	106	0
GCF_033026475.1	Channa argus	Actinopteri	RefSeq	ITPR1	1	complete	122	106	106	16	0.8689	0.8689	58	62	0
GCF_033026475.1	Channa argus	Actinopteri	RefSeq	ITPR1	0	complete	116	111	111	5	0.9569	0.9569	57	59	0
GCF_033026475.1	Channa argus	Actinopteri	RefSeq	ITPR2	0	complete	112	105	105	7	0.9375	0.9375	56	57	0
GCF_033026475.1	Channa argus	Actinopteri	RefSeq	ITPR3	0	complete	120	118	118	2	0.9833	0.9833	60	61	0
GCF_033026475.1	Channa argus	Actinopteri	RefSeq	RYR	5	complete	206	191	191	15	0.9272	0.9272	102	104	0
GCF_033026475.1	Channa argus	Actinopteri	RefSeq	RYR	1	complete	214	200	200	14	0.9346	0.9346	104	108	0
GCF_033026475.1	Channa argus	Actinopteri	RefSeq	RYR	0	complete	230	225	225	5	0.9783	0.9783	115	116	0
GCF_033026475.1	Channa argus	Actinopteri	RefSeq	RYR	3	complete	212	191	191	21	0.9009	0.9009	100	107	0
GCF_033026475.1	Channa argus	Actinopteri	RefSeq	RYR	4	complete	212	189	189	23	0.8915	0.8915	100	107	0
GCF_033026475.1	Channa argus	Actinopteri	RefSeq	RYR	2	complete	210	204	204	6	0.9714	0.9714	105	106	0
GCF_033807715.1	Cololabis saira	Actinopteri	RefSeq	ITPR1	0	complete	116	112	112	4	0.9655	0.9655	58	59	0
GCF_033807715.1	Cololabis saira	Actinopteri	RefSeq	ITPR1	1	complete	124	111	111	13	0.8952	0.8952	57	63	0
GCF_033807715.1	Cololabis saira	Actinopteri	RefSeq	ITPR2	0	complete	112	105	105	7	0.9375	0.9375	55	57	0
GCF_033807715.1	Cololabis saira	Actinopteri	RefSeq	ITPR3	0	complete	118	117	117	1	0.9915	0.9915	60	60	0
GCF_033807715.1	Cololabis saira	Actinopteri	RefSeq	RYR	0	complete	202	197	197	5	0.9752	0.9752	102	102	0
GCF_033807715.1	Cololabis saira	Actinopteri	RefSeq	RYR	1	complete	212	203	203	9	0.9575	0.9575	104	107	0
GCF_033807715.1	Cololabis saira	Actinopteri	RefSeq	RYR	3	complete	210	189	189	21	0.9	0.9	102	106	0
GCF_033807715.1	Cololabis saira	Actinopteri	RefSeq	RYR	5	complete	206	190	190	16	0.9223	0.9223	102	104	0
GCF_033807715.1	Cololabis saira	Actinopteri	RefSeq	RYR	4	complete	212	198	199	13	0.934	0.9387	104	107	0
GCF_033807715.1	Cololabis saira	Actinopteri	RefSeq	RYR	2	complete	228	220	220	8	0.9649	0.9649	114	115	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	RefSeq	ITPR1	1	complete	126	104	104	22	0.8254	0.8254	57	64	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	RefSeq	ITPR1	0	complete	118	111	111	7	0.9407	0.9407	57	60	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	RefSeq	ITPR2	0	complete	112	105	106	6	0.9375	0.9464	56	57	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	RefSeq	ITPR3	0	complete	116	116	116	0	1	1	59	59	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	RefSeq	RYR	4	complete	208	185	185	23	0.8894	0.8894	100	105	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	RefSeq	RYR	3	complete	208	200	200	8	0.9615	0.9615	104	105	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	RefSeq	RYR	2	complete	208	200	200	8	0.9615	0.9615	104	105	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	RefSeq	RYR	0	complete	228	225	225	3	0.9868	0.9868	115	115	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	RefSeq	RYR	6	complete	204	177	177	27	0.8676	0.8676	97	103	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	RefSeq	RYR	1	complete	210	201	201	9	0.9571	0.9571	103	106	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	RefSeq	RYR	5	complete	210	195	195	15	0.9286	0.9286	101	106	0
GCF_034619465.1	Leptosomus discolor	Aves	RefSeq	ITPR1	0	complete	124	119	119	5	0.9597	0.9597	62	63	0
GCF_034619465.1	Leptosomus discolor	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_034619465.1	Leptosomus discolor	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_034619465.1	Leptosomus discolor	Aves	RefSeq	RYR	0	complete	208	200	200	8	0.9615	0.9615	104	105	0
GCF_034619465.1	Leptosomus discolor	Aves	RefSeq	RYR	1	complete	212	192	192	20	0.9057	0.9057	102	107	0
GCF_034638445.1	Ciconia boyciana	Aves	RefSeq	ITPR1	0	complete	112	110	110	2	0.9821	0.9821	62	57	0
GCF_034638445.1	Ciconia boyciana	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_034638445.1	Ciconia boyciana	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_034638445.1	Ciconia boyciana	Aves	RefSeq	RYR	0	complete	212	203	203	9	0.9575	0.9575	104	107	0
GCF_034638445.1	Ciconia boyciana	Aves	RefSeq	RYR	2	complete	208	192	192	16	0.9231	0.9231	104	105	0
GCF_034638445.1	Ciconia boyciana	Aves	RefSeq	RYR	1	complete	218	200	202	16	0.9174	0.9266	104	110	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	RefSeq	ITPR1	0	complete	116	111	111	5	0.9569	0.9569	59	59	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	RefSeq	ITPR1	1	complete	118	107	107	11	0.9068	0.9068	58	60	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	RefSeq	ITPR2	0	complete	114	106	106	8	0.9298	0.9298	56	58	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	RefSeq	ITPR3	0	complete	112	110	110	2	0.9821	0.9821	58	57	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	RefSeq	RYR	1	complete	228	217	217	11	0.9518	0.9518	113	115	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	RefSeq	RYR	2	complete	208	204	204	4	0.9808	0.9808	104	105	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	RefSeq	RYR	0	complete	210	209	209	1	0.9952	0.9952	106	106	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	RefSeq	RYR	4	complete	208	190	190	18	0.9135	0.9135	100	105	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	RefSeq	RYR	3	complete	216	202	202	14	0.9352	0.9352	106	109	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	RefSeq	RYR	5	complete	204	185	185	19	0.9069	0.9069	100	103	0
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	RefSeq	ITPR1	0	complete	116	108	108	8	0.931	0.931	59	59	0
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	RefSeq	ITPR3	0	complete	114	101	101	13	0.886	0.886	56	58	0
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	RefSeq	RYR	1	complete	202	201	201	1	0.995	0.995	103	102	0
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	RefSeq	RYR	2	complete	204	196	196	8	0.9608	0.9608	101	103	0
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	RefSeq	RYR	0	complete	210	190	190	20	0.9048	0.9048	102	106	0
GCF_035582795.1	Mycteria americana	Aves	RefSeq	ITPR1	0	complete	112	112	112	0	1	1	62	57	0
GCF_035582795.1	Mycteria americana	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_035582795.1	Mycteria americana	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_035582795.1	Mycteria americana	Aves	RefSeq	RYR	0	complete	210	203	203	7	0.9667	0.9667	104	106	0
GCF_035582795.1	Mycteria americana	Aves	RefSeq	RYR	1	complete	204	191	191	13	0.9363	0.9363	102	103	0
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	RefSeq	ITPR1	0	complete	114	106	106	8	0.9298	0.9298	58	58	0
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	RefSeq	ITPR3	0	complete	114	112	112	2	0.9825	0.9825	58	58	0
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	RefSeq	RYR	1	complete	202	192	192	10	0.9505	0.9505	102	102	0
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	RefSeq	RYR	0	complete	212	210	210	2	0.9906	0.9906	107	107	0
GCF_036013445.1	Caloenas nicobarica	Aves	RefSeq	ITPR1	0	complete	112	108	108	4	0.9643	0.9643	62	57	0
GCF_036013445.1	Caloenas nicobarica	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_036013445.1	Caloenas nicobarica	Aves	RefSeq	ITPR3	0	complete	114	112	112	2	0.9825	0.9825	57	58	0
GCF_036013445.1	Caloenas nicobarica	Aves	RefSeq	RYR	0	complete	214	201	201	13	0.9393	0.9393	104	108	0
GCF_036013445.1	Caloenas nicobarica	Aves	RefSeq	RYR	2	complete	206	189	189	17	0.9175	0.9175	101	104	0
GCF_036013445.1	Caloenas nicobarica	Aves	RefSeq	RYR	1	complete	194	189	189	5	0.9742	0.9742	97	98	0
GCF_036365525.1	Heterodontus francisci	Chondrichthyes	RefSeq	ITPR1	0	complete	116	109	109	7	0.9397	0.9397	59	59	0
GCF_036365525.1	Heterodontus francisci	Chondrichthyes	RefSeq	ITPR2	0	complete	112	107	107	5	0.9554	0.9554	57	57	0
GCF_036365525.1	Heterodontus francisci	Chondrichthyes	RefSeq	ITPR3	0	complete	114	101	101	13	0.886	0.886	56	58	0
GCF_036365525.1	Heterodontus francisci	Chondrichthyes	RefSeq	RYR	2	complete	208	193	193	15	0.9279	0.9279	102	105	0
GCF_036365525.1	Heterodontus francisci	Chondrichthyes	RefSeq	RYR	1	complete	202	200	200	2	0.9901	0.9901	102	102	0
GCF_036365525.1	Heterodontus francisci	Chondrichthyes	RefSeq	RYR	0	complete	212	197	197	15	0.9292	0.9292	102	107	0
GCF_036370855.1	Dromaius novaehollandiae	Aves	RefSeq	ITPR1	0	complete	124	120	120	4	0.9677	0.9677	62	63	0
GCF_036370855.1	Dromaius novaehollandiae	Aves	RefSeq	ITPR2	0	complete	118	111	111	7	0.9407	0.9407	57	60	0
GCF_036370855.1	Dromaius novaehollandiae	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_036370855.1	Dromaius novaehollandiae	Aves	RefSeq	RYR	0	complete	210	206	206	4	0.981	0.981	104	106	0
GCF_036370855.1	Dromaius novaehollandiae	Aves	RefSeq	RYR	2	complete	204	196	196	8	0.9608	0.9608	103	103	0
GCF_036370855.1	Dromaius novaehollandiae	Aves	RefSeq	RYR	1	complete	206	203	203	3	0.9854	0.9854	105	104	0
GCF_036373705.1	Amia ocellicauda	Actinopteri	RefSeq	ITPR1	0	complete	118	111	111	7	0.9407	0.9407	58	60	0
GCF_036373705.1	Amia ocellicauda	Actinopteri	RefSeq	ITPR2	0	complete	114	112	112	2	0.9825	0.9825	57	58	0
GCF_036373705.1	Amia ocellicauda	Actinopteri	RefSeq	ITPR3	0	complete	114	111	111	3	0.9737	0.9737	58	58	0
GCF_036373705.1	Amia ocellicauda	Actinopteri	RefSeq	RYR	1	complete	214	209	209	5	0.9766	0.9766	106	108	0
GCF_036373705.1	Amia ocellicauda	Actinopteri	RefSeq	RYR	2	complete	204	195	195	9	0.9559	0.9559	103	103	0
GCF_036373705.1	Amia ocellicauda	Actinopteri	RefSeq	RYR	0	complete	208	205	205	3	0.9856	0.9856	105	105	0
GCF_036417535.1	Chlamydotis macqueenii	Aves	RefSeq	ITPR1	0	complete	118	118	118	0	1	1	62	60	0
GCF_036417535.1	Chlamydotis macqueenii	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_036417535.1	Chlamydotis macqueenii	Aves	RefSeq	ITPR3	0	complete	112	112	112	0	1	1	58	57	0
GCF_036417535.1	Chlamydotis macqueenii	Aves	RefSeq	RYR	0	complete	210	204	204	6	0.9714	0.9714	104	106	0
GCF_036417535.1	Chlamydotis macqueenii	Aves	RefSeq	RYR	1	complete	206	190	190	16	0.9223	0.9223	102	104	0
GCF_036417845.1	Apteryx mantelli	Aves	RefSeq	ITPR1	0	complete	118	118	118	0	1	1	62	60	0
GCF_036417845.1	Apteryx mantelli	Aves	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_036417845.1	Apteryx mantelli	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_036417845.1	Apteryx mantelli	Aves	RefSeq	RYR	0	complete	212	202	203	9	0.9528	0.9575	103	107	0
GCF_036417845.1	Apteryx mantelli	Aves	RefSeq	RYR	1	complete	208	187	187	21	0.899	0.899	101	105	0
GCF_036850765.1	Saccopteryx bilineata	Mammalia	RefSeq	ITPR1	0	complete	118	116	116	2	0.9831	0.9831	60	60	0
GCF_036850765.1	Saccopteryx bilineata	Mammalia	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_036850765.1	Saccopteryx bilineata	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_036850765.1	Saccopteryx bilineata	Mammalia	RefSeq	RYR	1	complete	204	193	193	11	0.9461	0.9461	104	103	0
GCF_036850765.1	Saccopteryx bilineata	Mammalia	RefSeq	RYR	0	complete	210	205	205	5	0.9762	0.9762	105	106	0
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	RefSeq	ITPR1	0	complete	116	109	109	7	0.9397	0.9397	58	59	0
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	RefSeq	ITPR2	0	complete	112	104	104	8	0.9286	0.9286	56	57	0
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	RefSeq	ITPR3	0	complete	114	102	102	12	0.8947	0.8947	57	58	0
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	RefSeq	RYR	2	complete	214	197	197	17	0.9206	0.9206	102	108	0
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	RefSeq	RYR	1	complete	200	198	199	1	0.99	0.995	102	101	0
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	RefSeq	RYR	0	complete	210	194	194	16	0.9238	0.9238	102	106	0
GCF_037157495.1	Lathamus discolor	Aves	RefSeq	ITPR1	0	complete	114	110	110	4	0.9649	0.9649	62	58	0
GCF_037157495.1	Lathamus discolor	Aves	RefSeq	ITPR2	0	complete	116	111	111	5	0.9569	0.9569	57	59	0
GCF_037157495.1	Lathamus discolor	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_037157495.1	Lathamus discolor	Aves	RefSeq	RYR	0	complete	208	203	204	4	0.976	0.9808	104	105	0
GCF_037157495.1	Lathamus discolor	Aves	RefSeq	RYR	1	complete	212	192	192	20	0.9057	0.9057	103	107	0
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	RefSeq	ITPR1	0	complete	110	100	100	10	0.9091	0.9091	62	56	0
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	RefSeq	ITPR2	0	complete	110	108	108	2	0.9818	0.9818	57	56	0
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	RefSeq	ITPR3	0	complete	114	105	105	9	0.9211	0.9211	57	58	0
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	RefSeq	RYR	1	complete	206	201	201	5	0.9757	0.9757	103	104	0
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	RefSeq	RYR	2	complete	208	195	195	13	0.9375	0.9375	102	105	0
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	RefSeq	RYR	0	complete	206	198	199	7	0.9612	0.966	108	104	0
GCF_037893015.1	Macrotis lagotis	Mammalia	RefSeq	ITPR1	0	complete	116	112	112	4	0.9655	0.9655	60	59	0
GCF_037893015.1	Macrotis lagotis	Mammalia	RefSeq	ITPR2	0	complete	110	109	109	1	0.9909	0.9909	56	56	0
GCF_037893015.1	Macrotis lagotis	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
