n_introns_a	n_introns_b	n_introns_b_in_shared	n_shared_columns	observed	expected_analytic	p_analytic	n_perm	expected_perm	p_perm	accession	organism	vclass	cell_a	cell_b	tolerance	is_operating_point	frame_via_cell
59	102	49	2244	2	1.202	0.339228	1000	1.217	0.34565	GCF_016699485.2	Gallus gallus	Aves	ITPR1	RYR	1	0	0
56	104	46	2228	2	1.022	0.272584	1000	1.083	0.29271	GCF_016859285.1	Xiphias gladius	Actinopteri	ITPR1	RYR	1	0	0
56	101	47	2238	2	1.063	0.287548	1000	1.037	0.28072	GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	ITPR1	RYR	1	0	0
56	102	46	2225	2	1.02	0.271589	1000	0.985	0.26873	GCF_017654505.1	Polyodon spathula	Actinopteri	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.189	0.334299	1000	1.154	0.32567	GCF_017976375.1	Cuculus canorus	Aves	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.186	0.32168	GCF_018139145.2	Gymnogyps californianus	Aves	ITPR1	RYR	1	0	0
57	100	42	2213	2	0.958	0.248514	1000	1.029	0.26973	GCF_018320785.1	Cheilinus undulatus	Actinopteri	ITPR1	RYR	1	0	0
59	98	46	2229	2	1.132	0.313565	1000	1.111	0.29471	GCF_018691265.1	Tyto alba	Aves	ITPR1	RYR	1	0	0
59	103	48	2255	2	1.131	0.313109	1000	1.052	0.28671	GCF_018977255.1	Callorhinchus milii	Chondrichthyes	ITPR1	RYR	1	0	0
55	99	45	2229	2	1.05	0.282795	1000	1.027	0.29471	GCF_019279795.1	Protopterus annectens	Dipnoi	ITPR1	RYR	1	0	0
59	99	46	2232	2	1.089	0.297327	1000	1.079	0.28571	GCF_019393635.1	Dromiciops gliroides	Mammalia	ITPR1	RYR	1	0	0
57	101	44	2213	2	0.966	0.25155	1000	0.972	0.24376	GCF_019740435.1	Gambusia affinis	Actinopteri	ITPR1	RYR	1	0	0
59	103	48	2250	2	1.163	0.324946	1000	1.171	0.33666	GCF_020171115.1	Neogale vison	Mammalia	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.216	0.33966	GCF_020740795.1	Apus apus	Aves	ITPR1	RYR	1	0	0
59	100	46	2237	2	1.111	0.305739	1000	1.079	0.2967	GCF_020826845.1	Diceros bicornis minor	Mammalia	ITPR1	RYR	1	0	0
52	98	44	2229	1	0.887	0.592763	1000	0.881	0.6024	GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	ITPR1	RYR	1	0	0
59	98	46	2237	2	1.111	0.305739	1000	1.107	0.2967	GCF_021613505.1	Equus quagga	Mammalia	ITPR1	RYR	1	0	0
59	99	46	2229	2	1.102	0.30239	1000	1.145	0.31369	GCF_023634155.1	Falco peregrinus	Aves	ITPR1	RYR	1	0	0
59	103	48	2255	2	1.173	0.328405	1000	1.241	0.33966	GCF_023851605.1	Tamandua tetradactyla	Mammalia	ITPR1	RYR	1	0	0
59	96	46	2237	2	1.111	0.305739	1000	1.07	0.27073	GCF_024166365.1	Elephas maximus indicus	Mammalia	ITPR1	RYR	1	0	0
56	99	45	2229	2	1.061	0.286984	1000	1.079	0.27772	GCF_025201925.1	Gopherus flavomarginatus	Testudines	ITPR1	RYR	1	0	0
57	99	45	2229	2	1.048	0.282134	1000	1.028	0.27572	GCF_027244095.1	Hemicordylus capensis	Lepidosauria	ITPR1	RYR	1	0	0
59	98	46	2237	2	1.111	0.305739	1000	1.064	0.29271	GCF_027409185.1	Cynocephalus volans	Mammalia	ITPR1	RYR	1	0	0
57	101	43	2213	2	0.98	0.256608	1000	1.052	0.28372	GCF_027409825.1	Scomber japonicus	Actinopteri	ITPR1	RYR	1	0	0
58	98	44	2215	2	1.056	0.284934	1000	1.051	0.29371	GCF_027579695.1	Neoarius graeffei	Actinopteri	ITPR1	RYR	1	0	0
57	100	46	2229	1	1.081	0.666791	1000	1.066	0.65834	GCF_027579735.1	Bombina bombina	Amphibia	ITPR1	RYR	1	0	0
59	101	47	2232	2	1.137	0.315156	1000	1.185	0.32867	GCF_027595985.1	Sorex araneus	Mammalia	ITPR1	RYR	1	0	0
59	104	49	2250	2	1.176	0.329841	1000	1.172	0.34166	GCF_028372415.1	Notamacropus eugenii	Mammalia	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.169	0.2977	GCF_028389875.1	Rhea pennata	Aves	ITPR1	RYR	1	0	0
59	100	47	2229	2	1.11	0.30539	1000	1.096	0.30569	GCF_028858725.1	Colius striatus	Aves	ITPR1	RYR	1	0	0
59	99	45	2230	2	1.036	0.277598	1000	1.04	0.27572	GCF_029633855.1	Hoplias malabaricus	Actinopteri	ITPR1	RYR	1	0	0
56	93	43	2213	2	0.93	0.238241	1000	0.906	0.22777	GCF_029633865.1	Lampris incognitus	Actinopteri	ITPR1	RYR	1	0	0
59	104	49	2250	2	1.199	0.338048	1000	1.158	0.32667	GCF_030020395.1	Manis pentadactyla	Mammalia	ITPR1	RYR	1	0	0
59	98	47	2237	2	1.146	0.318679	1000	1.154	0.32767	GCF_030445035.2	Dasypus novemcinctus	Mammalia	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.176	0.33467	GCF_030463565.1	Pelecanus crispus	Aves	ITPR1	RYR	1	0	0
59	100	46	2229	2	1.102	0.30239	1000	1.167	0.33267	GCF_030490865.1	Poecile atricapillus	Aves	ITPR1	RYR	1	0	0
59	102	48	2238	2	1.139	0.316174	1000	1.151	0.35065	GCF_030867095.1	Alligator mississippiensis	Crocodylia	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.261	0.36563	GCF_030867145.1	Opisthocomus hoazin	Aves	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.199	0.33566	GCF_030936135.1	Gavia stellata	Aves	ITPR1	RYR	1	0	0
57	97	42	2216	2	0.959	0.248866	1000	0.949	0.25674	GCF_033026475.1	Channa argus	Actinopteri	ITPR1	RYR	1	0	0
57	98	40	2213	2	0.883	0.220605	1000	0.824	0.2038	GCF_033807715.1	Cololabis saira	Actinopteri	ITPR1	RYR	1	0	0
55	99	44	2231	2	0.942	0.242625	1000	0.98	0.25175	GCF_033978785.1	Entelurus aequoreus	Actinopteri	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.172	0.328231	1000	1.211	0.33866	GCF_034619465.1	Leptosomus discolor	Aves	ITPR1	RYR	1	0	0
58	102	49	2244	2	1.202	0.339228	1000	1.261	0.36663	GCF_034638445.1	Ciconia boyciana	Aves	ITPR1	RYR	1	0	0
58	108	45	2215	2	1.093	0.298912	1000	1.091	0.3037	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	ITPR1	RYR	1	0	0
56	97	45	2229	2	1.023	0.272915	1000	0.959	0.24975	GCF_035084215.1	Heptranchias perlo	Chondrichthyes	ITPR1	RYR	1	0	0
58	102	49	2244	2	1.202	0.339228	1000	1.174	0.33267	GCF_035582795.1	Mycteria americana	Aves	ITPR1	RYR	1	0	0
57	103	46	2229	2	1.082	0.294858	1000	1.056	0.28971	GCF_035609145.1	Eleutherodactylus coqui	Amphibia	ITPR1	RYR	1	0	0
59	102	50	2244	2	1.238	0.35228	1000	1.254	0.35165	GCF_036013445.1	Caloenas nicobarica	Aves	ITPR1	RYR	1	0	0
56	98	46	2229	2	1.035	0.277436	1000	1.024	0.28671	GCF_036365525.1	Heterodontus francisci	Chondrichthyes	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.245	0.35465	GCF_036370855.1	Dromaius novaehollandiae	Aves	ITPR1	RYR	1	0	0
57	102	44	2213	2	0.963	0.250538	1000	1.01	0.27173	GCF_036373705.1	Amia ocellicauda	Actinopteri	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.159	0.32667	GCF_036417535.1	Chlamydotis macqueenii	Aves	ITPR1	RYR	1	0	0
59	97	45	2229	2	1.096	0.300222	1000	1.14	0.32068	GCF_036417845.1	Apteryx mantelli	Aves	ITPR1	RYR	1	0	0
59	101	49	2252	2	1.198	0.337656	1000	1.193	0.32667	GCF_036850765.1	Saccopteryx bilineata	Mammalia	ITPR1	RYR	1	0	0
56	100	46	2229	2	1.05	0.282971	1000	1.047	0.28771	GCF_036971445.1	Narcine bancroftii	Chondrichthyes	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.264	0.36663	GCF_037157495.1	Lathamus discolor	Aves	ITPR1	RYR	1	0	0
60	102	44	2192	2	1.05	0.28295	1000	1.058	0.28871	GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	ITPR1	RYR	1	0	0
59	101	47	2232	2	1.124	0.310492	1000	1.163	0.31768	GCF_037893015.1	Macrotis lagotis	Mammalia	ITPR1	RYR	1	0	0
57	101	43	2213	2	0.958	0.248345	1000	0.935	0.24675	GCF_039877785.1	Chaetodon trifascialis	Actinopteri	ITPR1	RYR	1	0	0
57	100	43	2213	2	0.958	0.248345	1000	0.969	0.25974	GCF_040054535.1	Antennarius striatus	Actinopteri	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.238	0.352334	1000	1.206	0.34066	GCF_040807025.1	Struthio camelus	Aves	ITPR1	RYR	1	0	0
57	101	44	2213	2	0.963	0.250538	1000	1.001	0.26873	GCF_040954835.1	Lepisosteus oculatus	Actinopteri	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.317	0.38661	GCF_041296385.2	Aphelocoma coerulescens	Aves	ITPR1	RYR	1	0	0
59	102	44	2215	2	1.072	0.291004	1000	1.03	0.27572	GCF_041902795.1	Electrophorus electricus	Actinopteri	ITPR1	RYR	1	0	0
56	100	42	2213	2	0.952	0.246153	1000	1.005	0.26174	GCF_042242105.1	Pempheris klunzingeri	Actinopteri	ITPR1	RYR	1	0	0
57	104	48	2228	2	1.099	0.301041	1000	1.147	0.32468	GCF_043380555.1	Nothobranchius furzeri	Actinopteri	ITPR1	RYR	1	0	0
56	101	43	2213	2	0.958	0.248345	1000	0.92	0.23477	GCF_045865225.1	Trachurus japonicus	Actinopteri	ITPR1	RYR	1	0	0
57	100	44	2231	2	0.956	0.247641	1000	0.97	0.24476	GCF_046128005.1	Genypterus blacodes	Actinopteri	ITPR1	RYR	1	0	0
59	99	46	2229	2	1.102	0.30239	1000	1.086	0.30769	GCF_047370975.1	Nipponia nippon	Aves	ITPR1	RYR	1	0	0
58	98	45	2232	2	1.027	0.274243	1000	0.979	0.25075	GCF_047496795.1	Chiloscyllium punctatum	Chondrichthyes	ITPR1	RYR	1	0	0
56	98	45	2229	2	1.035	0.277439	1000	1.022	0.28072	GCF_047496885.1	Scyliorhinus torazame	Chondrichthyes	ITPR1	RYR	1	0	0
59	104	49	2244	2	1.202	0.339228	1000	1.26	0.36963	GCF_047663525.1	Anas platyrhynchos	Aves	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.153	0.30969	GCF_047716275.1	Strix uralensis	Aves	ITPR1	RYR	1	0	0
57	103	49	2247	2	1.151	0.32054	1000	1.226	0.34266	GCF_048418815.1	Hemitrygon akajei	Chondrichthyes	ITPR1	RYR	1	0	0
59	104	49	2250	2	1.185	0.33313	1000	1.197	0.32867	GCF_048593235.1	Sminthopsis crassicaudata	Mammalia	ITPR1	RYR	1	0	0
57	99	45	2231	2	0.988	0.259853	1000	0.986	0.25175	GCF_048594095.1	Paramormyrops kingsleyae	Actinopteri	ITPR1	RYR	1	0	0
56	104	47	2232	2	1.115	0.30693	1000	1.145	0.33067	GCF_048934315.1	Petromyzon marinus	Hyperoartia	ITPR1	RYR	1	0	0
59	104	49	2255	2	1.208	0.341457	1000	1.186	0.34266	GCF_049350105.2	Macaca mulatta	Mammalia	ITPR1	RYR	1	0	0
59	103	48	2250	2	1.163	0.324946	1000	1.16	0.32368	GCF_050624435.1	Tenrec ecaudatus	Mammalia	ITPR1	RYR	1	0	0
59	101	44	2215	2	1.06	0.286623	1000	1.06	0.2957	GCF_052040795.1	Danio rerio	Actinopteri	ITPR1	RYR	1	0	0
56	97	45	2229	2	0.987	0.259358	1000	1.016	0.25974	GCF_052327205.1	Somniosus microcephalus	Chondrichthyes	ITPR1	RYR	1	0	0
59	104	49	2255	2	1.209	0.341946	1000	1.225	0.34166	GCF_054371585.1	Giraffa tippelskirchi	Mammalia	ITPR1	RYR	1	0	0
57	100	45	2228	2	0.99	0.260349	1000	0.995	0.25974	GCF_054491055.1	Hypomesus nipponensis	Actinopteri	ITPR1	RYR	1	0	0
58	101	43	2213	2	0.965	0.251044	1000	0.97	0.25475	GCF_056507025.1	Lutjanus erythropterus	Actinopteri	ITPR1	RYR	1	0	0
57	113	49	2225	2	1.091	0.298065	1000	1.052	0.27473	GCF_057381845.1	Rhamphochromis longiceps	Actinopteri	ITPR1	RYR	1	0	0
57	101	43	2213	2	0.958	0.248345	1000	1.015	0.28472	GCF_900324485.3	Mastacembelus armatus	Actinopteri	ITPR1	RYR	1	0	0
57	100	44	2213	2	0.966	0.25155	1000	0.921	0.23077	GCF_900634775.2	Gouania willdenowi	Actinopteri	ITPR1	RYR	1	0	0
56	101	44	2213	2	0.997	0.263187	1000	1.019	0.27173	GCF_900747795.2	Erpetoichthys calabaricus	Cladistia	ITPR1	RYR	1	0	0
56	101	43	2213	2	0.958	0.248345	1000	0.942	0.23976	GCF_900880675.2	Sparus aurata	Actinopteri	ITPR1	RYR	1	0	0
56	111	49	2225	2	1.091	0.298065	1000	1.076	0.27672	GCF_901000725.3	Takifugu rubripes	Actinopteri	ITPR1	RYR	1	0	0
58	101	47	2237	2	1.094	0.299403	1000	1.105	0.28971	GCF_901001135.2	Rhinatrema bivittatum	Amphibia	ITPR1	RYR	1	0	0
56	101	43	2213	2	0.958	0.248345	1000	0.966	0.25974	GCF_902148855.1	Sphaeramia orbicularis	Actinopteri	ITPR1	RYR	1	0	0
56	101	44	2213	2	0.963	0.250538	1000	0.961	0.24675	GCF_902150065.1	Myripristis murdjan	Actinopteri	ITPR1	RYR	1	0	0
57	98	45	2228	2	0.99	0.260349	1000	0.98	0.24875	GCF_902167405.1	Gadus morhua	Actinopteri	ITPR1	RYR	1	0	0
55	100	44	2231	2	0.929	0.237621	1000	0.905	0.23277	GCF_902362185.1	Chanos chanos	Actinopteri	ITPR1	RYR	1	0	0
57	100	43	2213	2	0.958	0.248345	1000	0.919	0.22478	GCF_902500255.1	Thalassophryne amazonica	Actinopteri	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.205	0.33167	GCF_907165065.1	Caprimulgus europaeus	Aves	ITPR1	RYR	1	0	0
57	101	43	2213	2	0.958	0.248345	1000	0.964	0.24975	GCF_933228915.1	Telmatherina bonti	Actinopteri	ITPR1	RYR	1	0	0
59	99	45	2229	2	1.096	0.300222	1000	1.067	0.28472	GCF_947461875.1	Haliaeetus albicilla	Aves	ITPR1	RYR	1	0	0
59	100	44	2215	2	1.034	0.277016	1000	1.055	0.28571	GCF_949152265.1	Phoxinus phoxinus	Actinopteri	ITPR1	RYR	1	0	0
56	101	43	2213	2	0.958	0.248345	1000	1.019	0.27273	GCF_949606895.1	Notothenia rossii	Actinopteri	ITPR1	RYR	1	0	0
56	101	43	2213	2	0.96	0.249357	1000	0.962	0.23477	GCF_949987555.1	Borostomias antarcticus	Actinopteri	ITPR1	RYR	1	0	0
57	100	44	2216	2	0.998	0.263528	1000	0.985	0.26374	GCF_949987685.1	Ammodytes marinus	Actinopteri	ITPR1	RYR	1	0	0
59	101	47	2232	2	1.137	0.315156	1000	1.106	0.31868	GCF_951640355.1	Cnephaeus nilssonii	Mammalia	ITPR1	RYR	1	0	0
55	100	43	2213	1	0.938	0.613549	1000	0.905	0.5954	GCF_951799975.1	Gobius niger	Actinopteri	ITPR1	RYR	1	0	0
57	99	43	2213	2	0.958	0.248345	1000	0.995	0.26573	GCF_960531495.1	Zeus faber	Actinopteri	ITPR1	RYR	1	0	0
56	99	43	2213	2	0.958	0.248345	1000	0.936	0.23477	GCF_963457635.1	Microchirus variegatus	Actinopteri	ITPR1	RYR	1	0	0
56	101	48	2238	2	1.094	0.299212	1000	1.064	0.29171	GCF_963514005.1	Raja brachyura	Chondrichthyes	ITPR1	RYR	1	0	0
57	101	45	2231	2	0.988	0.259853	1000	0.957	0.24775	GCF_963514075.1	Conger conger	Actinopteri	ITPR1	RYR	1	0	0
57	100	42	2213	2	0.949	0.245141	1000	0.909	0.22478	GCF_963514085.1	Chelon labrosus	Actinopteri	ITPR1	RYR	1	0	0
58	102	43	2213	2	0.991	0.260992	1000	1.048	0.27473	GCF_963921795.1	Nannobrachium achirus	Actinopteri	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.224	0.35864	GCF_963921805.1	Phalacrocorax carbo	Aves	ITPR1	RYR	1	0	0
50	101	43	2213	2	0.841	0.205219	1000	0.812	0.1998	GCF_963971535.1	Notolepis coatsorum	Actinopteri	ITPR1	RYR	1	0	0
56	99	43	2213	2	0.991	0.260992	1000	0.984	0.25574	GCF_963989245.1	Nansenia antarctica	Actinopteri	ITPR1	RYR	1	0	0
55	110	49	2229	2	1.121	0.30916	1000	1.104	0.30569	GCF_964187855.1	Myxine glutinosa	Myxini	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.262	0.35664	GCF_964195595.1	Calonectris borealis	Aves	ITPR1	RYR	1	0	0
59	100	46	2237	2	1.092	0.298574	1000	1.105	0.2967	GCF_964237555.1	Oryctolagus cuniculus	Mammalia	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.172	0.328231	1000	1.201	0.35664	GCF_964237585.1	Gallinula chloropus	Aves	ITPR1	RYR	1	0	0
58	100	46	2237	2	1.101	0.301899	1000	1.03	0.28472	GCF_964261635.1	Lissotriton helveticus	Amphibia	ITPR1	RYR	1	0	0
59	98	45	2229	2	1.096	0.300222	1000	1.097	0.30869	GCF_964289735.1	Phaethon aethereus	Aves	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.226	0.35664	GCF_964417175.1	Larus argentatus	Aves	ITPR1	RYR	1	0	0
57	99	42	2213	2	0.952	0.246153	1000	0.903	0.24176	GCF_964638095.1	Poromitra crassiceps	Actinopteri	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.232	0.34466	GCF_965183815.1	Platalea leucorodia	Aves	ITPR1	RYR	1	0	0
56	99	46	2228	2	0.996	0.262528	1000	0.995	0.26773	GCF_965601325.1	Salmo salar	Actinopteri	ITPR1	RYR	1	0	0
59	102	49	2244	2	1.202	0.339228	1000	1.165	0.32567	GCF_965638725.1	Aptenodytes patagonicus	Aves	ITPR1	RYR	1	0	0
56	57	56	2607	51	1.282	1.12285e-81	1000	1.323	0.001	GCA_008658365.1	Alca torda	Aves	ITPR2	ITPR3	1	0	0
56	57	56	2607	51	1.282	1.12285e-81	1000	1.297	0.001	GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR2	ITPR3	1	0	0
56	57	56	2607	51	1.282	1.12285e-81	1000	1.246	0.001	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR2	ITPR3	1	0	0
56	57	56	2616	51	1.277	9.42112e-82	1000	1.292	0.001	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR2	ITPR3	1	0	0
53	59	56	2550	47	1.28	8.40598e-71	1000	1.302	0.001	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR2	ITPR3	1	0	0
56	55	54	2608	49	1.218	1.01723e-78	1000	1.166	0.001	GCA_013398455.1	Loxia curvirostra	Aves	ITPR2	ITPR3	1	0	0
55	57	55	2550	48	1.316	5.32816e-74	1000	1.367	0.001	GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR2	ITPR3	1	0	0
56	55	54	2608	49	1.218	1.01723e-78	1000	1.198	0.001	GCA_014839755.1	Sylvia borin	Aves	ITPR2	ITPR3	1	0	0
56	55	54	2608	49	1.218	1.01723e-78	1000	1.263	0.001	GCA_015883425.2	Lamprotornis superbus	Aves	ITPR2	ITPR3	1	0	0
54	58	55	2550	50	1.278	2.51015e-79	1000	1.303	0.001	GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR2	ITPR3	1	0	0
40	57	56	2599	27	0.926	8.91758e-34	1000	0.908	0.001	GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR2	ITPR3	1	0	0
56	57	56	2607	50	1.281	5.87269e-79	1000	1.236	0.001	GCA_020745705.1	Hemiprocne comata	Aves	ITPR2	ITPR3	1	0	0
56	57	55	2576	51	1.297	8.53335e-82	1000	1.302	0.001	GCA_022829145.1	Albula goreensis	Actinopteri	ITPR2	ITPR3	1	0	0
56	56	55	2616	50	1.294	3.81756e-79	1000	1.243	0.001	GCA_023764695.1	Pygathrix nigripes	Mammalia	ITPR2	ITPR3	1	0	0
53	59	56	2550	48	1.302	3.06694e-73	1000	1.324	0.001	GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR2	ITPR3	1	0	0
56	57	56	2616	51	1.277	9.42112e-82	1000	1.271	0.001	GCA_028571685.1	Heterohyrax brucei	Mammalia	ITPR2	ITPR3	1	0	0
55	57	54	2550	50	1.329	7.19152e-79	1000	1.297	0.001	GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR2	ITPR3	1	0	0
54	59	56	2550	49	1.328	1.40302e-75	1000	1.254	0.001	GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR2	ITPR3	1	0	0
56	57	56	2616	51	1.277	9.42112e-82	1000	1.198	0.001	GCA_031835075.1	Saguinus oedipus	Mammalia	ITPR2	ITPR3	1	0	0
42	59	56	2550	28	0.81	1.29746e-36	1000	0.807	0.001	GCA_033238685.1	Lates japonicus	Actinopteri	ITPR2	ITPR3	1	0	0
55	55	54	2536	47	1.207	1.07773e-73	1000	1.144	0.001	GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR2	ITPR3	1	0	0
55	57	54	2576	51	1.304	1.42496e-82	1000	1.349	0.001	GCA_043380575.1	Atractosteus spatula	Actinopteri	ITPR2	ITPR3	1	0	0
54	59	56	2550	49	1.324	9.32097e-76	1000	1.305	0.001	GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR2	ITPR3	1	0	0
52	57	54	2543	45	1.191	2.54421e-68	1000	1.229	0.001	GCA_047511595.1	Polymixia lowei	Actinopteri	ITPR2	ITPR3	1	0	0
56	57	56	2616	51	1.277	9.42112e-82	1000	1.297	0.001	GCA_048126345.2	Notoryctes typhlops	Mammalia	ITPR2	ITPR3	1	0	0
54	59	56	2550	50	1.295	2.73808e-78	1000	1.343	0.001	GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR2	ITPR3	1	0	0
54	59	56	2550	49	1.292	8.28009e-76	1000	1.331	0.001	GCA_050084785.1	Liparis tanakae	Actinopteri	ITPR2	ITPR3	1	0	0
55	55	54	2608	49	1.214	6.24895e-79	1000	1.255	0.001	GCA_054084135.1	Copsychus sechellarum	Aves	ITPR2	ITPR3	1	0	0
56	57	56	2607	51	1.282	1.12285e-81	1000	1.246	0.001	GCA_054099775.1	Steatornis caripensis	Aves	ITPR2	ITPR3	1	0	0
56	57	56	2616	51	1.277	9.42112e-82	1000	1.264	0.001	GCA_054644205.1	Lestoros inca	Mammalia	ITPR2	ITPR3	1	0	0
55	59	56	2550	50	1.339	1.00239e-77	1000	1.351	0.001	GCA_054883175.1	Datnioides polota	Actinopteri	ITPR2	ITPR3	1	0	0
56	56	55	2578	51	1.295	6.54084e-82	1000	1.279	0.001	GCA_054883375.1	Arapaima gigas	Actinopteri	ITPR2	ITPR3	1	0	0
55	59	56	2550	51	1.342	2.8361e-80	1000	1.326	0.001	GCA_056506795.1	Pristigenys meyeri	Actinopteri	ITPR2	ITPR3	1	0	0
56	55	54	2608	49	1.218	1.01723e-78	1000	1.198	0.001	GCA_056776345.1	Spizella passerina	Aves	ITPR2	ITPR3	1	0	0
56	57	55	2578	51	1.313	5.0631e-82	1000	1.333	0.001	GCA_056783565.1	Hiodon alosoides	Actinopteri	ITPR2	ITPR3	1	0	0
55	58	56	2576	48	1.297	4.04663e-73	1000	1.341	0.001	GCA_056783665.1	Albula glossodonta	Actinopteri	ITPR2	ITPR3	1	0	0
53	57	53	2550	46	1.205	1.59437e-71	1000	1.189	0.001	GCA_056824565.1	Stylephorus chordatus	Actinopteri	ITPR2	ITPR3	1	0	0
55	57	54	2550	47	1.228	1.39166e-72	1000	1.21	0.001	GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	ITPR2	ITPR3	1	0	0
56	52	49	2523	48	1.214	3.05695e-80	1000	1.148	0.001	GCA_057876775.1	Echinorhinus cookei	Chondrichthyes	ITPR2	ITPR3	1	0	0
56	55	54	2608	49	1.218	1.01723e-78	1000	1.279	0.001	GCA_058224745.1	Acrocephalus arundinaceus	Aves	ITPR2	ITPR3	1	0	0
54	59	56	2550	50	1.299	3.88724e-78	1000	1.302	0.001	GCA_058707665.1	Platax teira	Actinopteri	ITPR2	ITPR3	1	0	0
54	58	55	2523	48	1.305	2.66618e-73	1000	1.299	0.001	GCA_965364685.1	Capros aper	Actinopteri	ITPR2	ITPR3	1	0	0
56	59	56	2550	50	1.349	2.74516e-77	1000	1.367	0.001	GCA_980438365.1	Acanthurus tractus	Actinopteri	ITPR2	ITPR3	1	0	0
54	59	56	2550	49	1.322	5.1486e-75	1000	1.309	0.001	GCA_984656905.1	Parequula melbournensis	Actinopteri	ITPR2	ITPR3	1	0	0
56	57	56	2616	51	1.277	9.42112e-82	1000	1.236	0.001	GCA_987193245.1	Pontoporia blainvillei	Mammalia	ITPR2	ITPR3	1	0	0
56	57	56	2616	51	1.277	9.42112e-82	1000	1.245	0.001	GCF_000001405.40	Homo sapiens	Mammalia	ITPR2	ITPR3	1	0	0
56	57	56	2615	51	1.278	9.60634e-82	1000	1.275	0.001	GCF_000001635.27	Mus musculus	Mammalia	ITPR2	ITPR3	1	0	0
55	57	56	2599	49	1.281	2.05457e-76	1000	1.191	0.001	GCF_000004195.4	Xenopus tropicalis	Amphibia	ITPR2	ITPR3	1	0	0
56	55	54	2578	49	1.247	2.21402e-78	1000	1.241	0.001	GCF_001715985.3	Manacus vitellinus	Aves	ITPR2	ITPR3	1	0	0
56	57	56	2615	51	1.278	9.60634e-82	1000	1.255	0.001	GCF_003668045.3	Cricetulus griseus	Mammalia	ITPR2	ITPR3	1	0	0
56	55	54	2568	48	1.226	3.29798e-76	1000	1.281	0.001	GCF_003957555.1	Calypte anna	Aves	ITPR2	ITPR3	1	0	0
56	57	56	2616	51	1.277	9.42112e-82	1000	1.211	0.001	GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	ITPR2	ITPR3	1	0	0
56	52	51	2524	47	1.248	5.82563e-75	1000	1.275	0.001	GCF_009764475.1	Pristis pectinata	Chondrichthyes	ITPR2	ITPR3	1	0	0
56	57	56	2607	51	1.282	1.12285e-81	1000	1.323	0.001	GCF_009769465.1	Tauraco erythrolophus	Aves	ITPR2	ITPR3	1	0	0
56	57	54	2550	51	1.313	6.16036e-82	1000	1.255	0.001	GCF_011004845.1	Esox lucius	Actinopteri	ITPR2	ITPR3	1	0	0
56	57	56	2607	51	1.282	1.12285e-81	1000	1.302	0.001	GCF_011004875.1	Balearica regulorum gibbericeps	Aves	ITPR2	ITPR3	1	0	0
55	57	54	2550	50	1.274	6.38632e-80	1000	1.311	0.001	GCF_013368585.1	Megalops cyprinoides	Actinopteri	ITPR2	ITPR3	1	0	0
